"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting stealthy P2P botnets using statistical traffic fingerprints","J. Zhang; R. Perdisci; W. Lee; U. Sarfraz; X. Luo","Georgia Institute of Technology, USA; University of Georgia, USA; Georgia Institute of Technology, USA; Georgia Institute of Technology, USA; Hong Kong Polytechnic University, Hong Kong","2011 IEEE/IFIP 41st International Conference on Dependable Systems & Networks (DSN)","18 Jul 2011","2011","","","121","132","Peer-to-peer (P2P) botnets have recently been adopted by botmasters for their resiliency to take-down efforts. Besides being harder to take down, modern botnets tend to be stealthier in the way they perform malicious activities, making current detection approaches, including, ineffective. In this paper, we propose a novel botnet detection system that is able to identify stealthy P2P botnets, even when malicious activities may not be observable. First, our system identifies all hosts that are likely engaged in P2P communications. Then, we derive statistical fingerprints to profile different types of P2P traffic, and we leverage these fingerprints to distinguish between P2P botnet traffic and other legitimate P2P traffic. Unlike previous work, our system is able to detect stealthy P2P botnets even when the underlying compromised hosts are running legitimate P2P applications (e.g., Skype) and the P2P bot software at the same time. Our experimental evaluation based on real-world data shows that the proposed system can achieve high detection accuracy with a low false positive rate.","2158-3927","978-1-4244-9233-6","10.1109/DSN.2011.5958212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5958212","Botnet;P2P;Intrusion Detection;Security","Peer to peer computing;Monitoring;Protocols;Clustering algorithms;IP networks;Storms;Electronic mail","computer network security;peer-to-peer computing;telecommunication traffic","stealthy P2P botnet detection;statistical traffic fingerprints;peer-to-peer botnets;P2P botnet traffic","","50","1","23","","18 Jul 2011","","","IEEE","IEEE Conferences"
"Watermarking for detecting freeloader misbehavior in software-defined networks","Y. Park; S. Chang; L. M. Krishnamurthy","Computer Engineering, San Jose State University; Advanced Digital Sciences Center, Singapore; Computer Engineering, San Jose State University","2016 International Conference on Computing, Networking and Communications (ICNC)","24 Mar 2016","2016","","","1","6","Software-defined networking (SDN) provides network operators a high level of flexibility and programability through the separation of the control plane from the data plane. When initiating traffic, users are required to install flow rules that direct the traffic routing. This process requires communication between control and data plane and results in significant overhead and enables the controller to monitor the traffic and its source. In this paper, we introduce a novel misbehavior, called freeloading, where attackers bypass the process of installing flow rules. The attackers thus can send traffic with an unfair advantage in delay (enabling them to launch more timely threats) and significantly reduce the risk of attacker detection by the network controller (especially if further threats were launched). To prevent such attack, we develop a flow watermarking technique that embeds a secret message into the data payload. It facilitates ownership of the established flow rules, so that only the legitimate owners of flow rules can send packets using their own rules and the network can help detect the misuse cases of the installed flow rules.","","978-1-4673-8579-4","10.1109/ICCNC.2016.7440628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7440628","Software-defined networking;OpenFlow;Open Vswtich;Network-based attacks","Watermarking;Payloads;Encoding;Decoding;Process control;IP networks;Protocols","computer network security;software defined networking;telecommunication network routing","freeloader misbehavior detection;software-defined networking;SDN;traffic routing;attacker detection;network controller","","8","","34","","24 Mar 2016","","","IEEE","IEEE Conferences"
"MADAM: Effective and Efficient Behavior-based Android Malware Detection and Prevention","A. Saracino; D. Sgandurra; G. Dini; F. Martinelli","Instituto di Informatica e Telematica, Consiglio Nazionale delle Ricerche, Pisa, Italy; Department of Computing, Imperial College of London, London, United Kingdom; Department of Ingegneria dell'Informazione, Università di Pisa, Pisa, Italy; Instituto di Informatica e Telematica, Consiglio Nazionale delle Ricerche, Pisa, Italy","IEEE Transactions on Dependable and Secure Computing","15 Jan 2018","2018","15","1","83","97","Android users are constantly threatened by an increasing number of malicious applications (apps), generically called malware. Malware constitutes a serious threat to user privacy, money, device and file integrity. In this paper we note that, by studying their actions, we can classify malware into a small number of behavioral classes, each of which performs a limited set of misbehaviors that characterize them. These misbehaviors can be defined by monitoring features belonging to different Android levels. In this paper we present MADAM, a novel host-based malware detection system for Android devices which simultaneously analyzes and correlates features at four levels: kernel, application, user and package, to detect and stop malicious behaviors. MADAM has been specifically designed to take into account those behaviors that are characteristics of almost every real malware which can be found in the wild. MADAM detects and effectively blocks more than 96 percent of malicious apps, which come from three large datasets with about 2,800 apps, by exploiting the cooperation of two parallel classifiers and a behavioral signature-based detector. Extensive experiments, which also includes the analysis of a testbed of 9,804 genuine apps, have been conducted to show the low false alarm rate, the negligible performance overhead and limited battery consumption.","1941-0018","","10.1109/TDSC.2016.2536605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422770","Android security;intrusion detection system;malware;classification","Malware;Androids;Humanoid robots;Performance evaluation;Feature extraction;Monitoring","data integrity;digital signatures;invasive software;mobile computing;pattern classification;smart phones","behavior-based Android malware prevention;Android levels;features correlation;parallel classifiers;behavioral signature-based detector;behavior-based Android malware detection;MADAM;malicious apps;malicious behaviors;Android devices;malware detection system;file integrity;user privacy;malicious applications;Android users","","74","","41","IEEE","1 Mar 2016","","","IEEE","IEEE Journals"
"Legal Support of Cybersecurity in the Field of Application of Artificial Intelligence Technology","N. Kseniia; A. Minbaleev","School of Electronic Engineering and Computer Science, South Ural State University (national research university),Chelyabinsk,Russia; Kutafin Moscow State Law University (MSAL),Department of Information Law and Digital Technologies,Moscow,Russia","2020 International Conference Quality Management, Transport and Information Security, Information Technologies (IT&QM&IS)","21 Jan 2021","2020","","","59","62","In the modern world, providing cybersecurity has become one of the key tasks of the modern state. This task is included in the general security system of any state. Normative legal acts have appeared recently, which are based on technical regulations and standards. Such regulatory acts include laws and strategic acts about cyber security, cyber threats and countering the use of information weapons. The need to adopt legal acts regulating cybersecurity in all aspects, including the application of artificial intelligence methods, is justified by the rapidly growing number of challenges and threats in the information sphere. The paper discusses the legal support of cybersecurity in Russia in the field of application of artificial intelligence technology.","","978-1-7281-8179-0","10.1109/ITQMIS51053.2020.9322905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9322905","cybersecurity;artificial intelligence technology;information law","Artificial intelligence;Law;Robots;Regulation;Computer crime;Task analysis;Standards","artificial intelligence;law;security of data","legal support;cybersecurity;artificial intelligence technology;general security system;normative legal acts;technical regulations;standards;cyber threats;Russia","","","","17","","21 Jan 2021","","","IEEE","IEEE Conferences"
"Wireless Anomaly Detection Based on IEEE 802.11 Behavior Analysis","H. Alipour; Y. B. Al-Nashif; P. Satam; S. Hariri","Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA; Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA; Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA; Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ, USA","IEEE Transactions on Information Forensics and Security","19 May 2017","2015","10","10","2158","2170","Wireless communication networks are pervading every aspect of our lives due to their fast, easy, and inexpensive deployment. They are becoming ubiquitous and have been widely used to transfer critical information, such as banking accounts, credit cards, e-mails, and social network credentials. The more pervasive the wireless technology is going to be, the more important its security issue will be. Whereas the current security protocols for wireless networks have addressed the privacy and confidentiality issues, there are unaddressed vulnerabilities threatening their availability and integrity (e.g., denial of service, session hijacking, and MAC address spoofing attacks). In this paper, we describe an anomaly based intrusion detection system for the IEEE 802.11 wireless networks based on behavioral analysis to detect deviations from normal behaviors that are triggered by wireless network attacks. Our anomaly behavior analysis of the 802.11 protocols is based on monitoring the n-consecutive transitions of the protocol state machine. We apply sequential machine learning techniques to model the n-transition patterns in the protocol and characterize the probabilities of these transitions being normal. We have implemented several experiments to evaluate our system performance. By cross validating the system over two different wireless channels, we have achieved a low false alarm rate (<;0.1%). We have also evaluated our approach against an attack library of known wireless attacks and has achieved more than 99% detection rate.","1556-6021","","10.1109/TIFS.2015.2433898","AFOSR DDDAS(grant numbers:FA95550-12-1-0241); National Science Foundation research projects(grant numbers:NSF IIP-0758579,NCS-0855087,IIP-1127873); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7109166","Anomaly detection;IEEE 802.11 security;Intrusion detection;Wireless Network security;Protocol analysis;Wireless networks;Anomaly detection;IEEE 802.11 security;intrusion detection;wireless network security;protocol analysis;wireless networks","Protocols;IEEE 802.11 Standards;Intrusion detection;Detectors;Communication system security;Wireless networks","learning (artificial intelligence);probability;security of data;wireless channels;wireless LAN","wireless anomaly detection;IEEE 802.11 behavior analysis;wireless communication network;wireless technology;security protocol;intrusion detection system;sequential machine learning technique;n-transition pattern;transitions probability;wireless channel;wireless attack","","38","","27","IEEE","15 May 2015","","","IEEE","IEEE Journals"
"Hunting for invisibility: Characterizing and detecting malicious web infrastructures through server visibility analysis","J. Zhang; X. Hu; J. Jang; T. Wang; G. Gu; M. Stoecklin",Texas A&M University; IBM Research; IBM Research; Lehigh University; Texas A&M University; IBM Research,"IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications","28 Jul 2016","2016","","","1","9","Nowadays, cyber criminals often build web infrastructures rather than a single server to conduct their malicious activities. In order to continue their malevolent activities without being detected, cyber criminals make efforts to conceal the core servers (e.g., C&C servers, exploit servers, and drop-zone servers) in the malicious web infrastructure. Such deliberate invisibility of those concealed malicious servers, however, makes them particularly distinguishable from benign web servers that are usually promoted to be public. In this paper, we conduct the first large-scale measurement study to investigate the visibility of both malicious and benign servers. From our intensive analysis of over 100,000 benign servers, 45,000 malicious servers and 40,000 redirections, we identify a set of distinct features of malicious web infrastructures from their locations, structures, roles, and relationships perspectives, and propose a lightweight yet effective detection system called VisHunter. VisHunter identifies malicious redirections from visible servers to invisible servers at the entryway of malicious web infrastructures. We evaluate VisHunter on both online public data and large-scale enterprise network traffic, and demonstrate that VisHunter can achieve an average 96.2% detection rate with only 0.9% false positive rate on the real enterprise network traffic.","","978-1-4673-9953-1","10.1109/INFOCOM.2016.7524582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7524582","","Search engines;Superluminescent diodes;Feature extraction;Web servers;Malware;Indexes","computer crime;Internet","invisibility;malicious Web infrastructures;server visibility analysis;cyber criminals;malicious activities;core servers;benign Web servers;VisHunter;online public data;real enterprise network traffic","","6","","33","","28 Jul 2016","","","IEEE","IEEE Conferences"
"Cybersecurity in Big Data Era: From Securing Big Data to Data-Driven Security","D. B. Rawat; R. Doku; M. Garuba","Department of Electrical Engg and Computer Science, Howard University, 8369 Washington, District of Columbia United States 20059 (e-mail: db.rawat@ieee.org); EECS, Howard University, Washington, District of Columbia United States (e-mail: rdoku@bison.howard.edu); EECS, Howard University, Washington, District of Columbia United States (e-mail: mgaruba@howard.edu)","IEEE Transactions on Services Computing","","2019","PP","99","1","1","""Knowledge is power"" is an old adage that has been found to be true in today's information age. Knowledge is derived from having access to information. The ability to gather information from large volumes of data has become an issue of relative importance. Big Data Analytics (BDA) is the term coined by researchers to describe the art of processing, storing and gathering large amounts of data for future examination. Data is being produced at an alarming rate. The rapid growth of the Internet, Internet of Things (IoT) and other technological advances are the main culprits behind this sustained growth. The data generated is a reflection of the environment it is produced out of, thus we can use the data we get out of systems to figure out the inner workings of that system. This has become an important feature in cybersecurity where the goal is to protect assets. Furthermore, the growing value of data has made big data a high value target. In this paper, we explore recent research works in cybersecurity in relation to big data. We highlight how big data is protected and how big data can also be used as a tool for cybersecurity. We summarize recent works in the form of tables and have presented trends, open research challenges and problems. With this paper, readers can have a more thorough understanding of cybersecurity in the big data era, as well as research trends and open challenges in this active research area.","1939-1374","","10.1109/TSC.2019.2907247","Directorate for Computer and Information Science and Engineering(grant numbers:1405670,1650831); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673585","Big Data Security;Big Data Driven Security;IDS/IPS;Data Analytics","Big Data;Computer security;Electronic mail;Tools;Botnet;Market research","","","","5","","","IEEE","25 Mar 2019","","","IEEE","IEEE Early Access Articles"
"How Can Machine Learning Impact on Wireless Network and IoT? – A Survey","S. Laha; N. Chowdhury; R. Karmakar","Techno International New Town,Department of Information Technology,INDIA,700156; Techno International New Town,Department of Information Technology,INDIA,700156; Techno International New Town,Department of Information Technology,INDIA,700156","2020 11th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","15 Oct 2020","2020","","","1","7","Machines can be trained by human beings by feeding them massive amount of data, like examples and instructions. They have to learn without human interventions. The Internet of Things (IoT) is still in its outset and is in the developing front. IoT consisting of devices/machines with diverse sensors associated together in wireless networks, needs great amount of security for avoiding unauthorized access to the network as it collects and transmit data packets. With industrial fields showing much interest in the forefront, intrusion threats can make it vulnerable. In this paper, we are addressing several positive measures regarding the use of machine learning (ML) modalities like supervised learning (SL), unsupervised learning (UL), semi- supervised learning (SSL), reinforcement learning (RL), support vector machines (SVM) which are used for training IoT devices. This paper also addresses a brief survey of the scenarios where machine learning algorithms have been applied in various IoT devices and networks such as signal authentication, security, network flow, information retrieval, traffic management, spectrum sensing. It also indicates the necessity of surveying the scattered works on machine and deep learning applications for various aspects like security, congestion control over wireless computer networks, embedded sensor systems for IoT applications. Several limitations of existing researches and a number of open research issues which fellow researchers may find useful in the future have also been discussed.","","978-1-7281-6851-7","10.1109/ICCCNT49239.2020.9225652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225652","Machine learning;wireless network;IoT","Internet of Things;Machine learning;Support vector machines;Wireless sensor networks;Sensors;Wireless networks;Machine learning algorithms","intelligent sensors;Internet of Things;support vector machines;unsupervised learning;wireless sensor networks","IoT devices;network flow;deep learning applications;wireless computer networks;IoT applications;machine learning impact;wireless network;human beings;human interventions;IoT consisting;transmit data packets;machine learning modalities;reinforcement learning;support vector machines;machine learning algorithms","","","","30","","15 Oct 2020","","","IEEE","IEEE Conferences"
"An Adversarial Approach for Explainable AI in Intrusion Detection Systems","D. L. Marino; C. S. Wickramasinghe; M. Manic","Department of Computer Science, Virginia Commonwealth University, Richmond, USA; Department of Computer Science, Virginia Commonwealth University, Richmond, USA; Department of Computer Science, Virginia Commonwealth University, Richmond, USA","IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","30 Dec 2018","2018","","","3237","3243","Despite the growing popularity of modern machine learning techniques (e.g, Deep Neural Networks) in cyber-security applications, most of these models are perceived as a black-box for the user. Adversarial machine learning offers an approach to increase our understanding of these models. In this paper we present an approach to generate explanations for incorrect classifications made by data-driven Intrusion Detection Systems (IDSs) An adversarial approach is used to find the minimum modifications (of the input features) required to correctly classify a given set of misclassified samples. The magnitude of such modifications is used to visualize the most relevant features that explain the reason for the misclassification. The presented methodology generated satisfactory explanations that describe the reasoning behind the mis-classifications, with descriptions that match expert knowledge. The advantages of the presented methodology are: 1) applicable to any classifier with defined gradients. 2) does not require any modification of the classifier model. 3) can be extended to perform further diagnosis (e.g. vulnerability assessment) and gain further understanding of the system. Experimental evaluation was conducted on the NSL-KDD99 benchmark dataset using Linear and Multilayer perceptron classifiers. The results are shown using intuitive visualizations in order to improve the interpretability of the results.","2577-1647","978-1-5090-6684-1","10.1109/IECON.2018.8591457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591457","Adversarial Machine Learning;Adversarial samples;Explainable AI;cyber-security","Machine learning;Intrusion detection;Mathematical model;Visualization;Estimation","learning (artificial intelligence);multilayer perceptrons;neural nets;pattern classification;security of data","adversarial approach;explainable AI;cyber-security applications;adversarial machine learning;multilayer perceptron classifiers;machine learning techniques;deep neural networks;data-driven intrusion detection systems;IDSs","","11","","24","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Matched Averaging Federated Learning Gesture Recognition with WiFi Signals","Z. Wang; W. Zhang; X. Wu; X. Wang","Anhui University of Technology Anhui Engineering Laboratory for Intelligent Applications and Security of Industrial Internet,School of Computer Science and Technology,Maanshan,China; Anhui University of Technology Anhui Engineering Laboratory for Intelligent Applications and Security of Industrial Internet,School of Computer Science and Technology,Maanshan,China; Anhui University of Technology Anhui Engineering Laboratory for Intelligent Applications and Security of Industrial Internet,School of Computer Science and Technology,Maanshan,China; Anhui University of Technology Anhui Engineering Laboratory for Intelligent Applications and Security of Industrial Internet,School of Computer Science and Technology,Maanshan,China","2021 7th International Conference on Big Data Computing and Communications (BigCom)","1 Oct 2021","2021","","","38","43","WiFi signals based gesture recognition plays an important role in smart homes, such as human-computer interaction, identity authentication and so on. Most of existing approaches need a large number of channel state information dataset for model training to recognized human gestures. However, the robustness of the model to new users will be seriously affected, when the number of users participating in the training dataset is lacking. To address this problem, we propose a gesture recognition system based on matched averaging federated learning framework (WiMA). WiMA exploits parameter matching federated learning to training gesture prediction model, instead of traditional parameter aggregation. Experimental results show that the average accuracy of WiMA can be up to 90.4%, when 7 users participate in model training in 2 different rooms.","","978-1-6654-4252-7","10.1109/BigCom53800.2021.00018","National Natural Science Foundation of China; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546898","Gesture recognition;channel state information;federated learning","Training;Human computer interaction;Neurons;Gesture recognition;Smart homes;Predictive models;Collaborative work","","","","","","36","","1 Oct 2021","","","IEEE","IEEE Conferences"
