"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Stacked Autoencoder-based Probabilistic Feature Extraction for On-Device Network Intrusion Detection","T. -N. Dao; H. Lee","Faculty of Radio-Electronic Engineering, Le Quy Don Technical University, Hanoi, Vietnam, 10000.; Department of Computer Science and Engineering, Ewha Womans University, Seoul, Republic of Korea. (e-mail: hyungjune.lee@ewha.ac.kr)","IEEE Internet of Things Journal","","2021","PP","99","1","1","Due to the outbreak of recent network attacks, it is necessary to develop a robust network intrusion detection system (NIDS) that can quickly and effectively identify the network attack. Although the state-of-the-art detection algorithms have shown quite promising detection performance, they suffer from computationally intensive operations and large memory footprint, making themselves infeasible to applications at the resourceconstrained edge devices. We propose a lightweight yet effective NIDS scheme that incorporates a stacked autoencoder with a network pruning technique. By removing a set of ineffective neurons across layers in the autoencoder network with a certain probability based on their importance, a considerably large portion of relatively nominal training parameters are reduced. Then, the pruned and pre-trained encoder network is used as-is and is connected with a separate classifier network for attack type inference, avoiding a full retraining from scratch. Experimental results indicate that our stacked autoencoder-based classification network with probabilistic feature extraction has outperformed the state-of-the-art NIDSs in terms of attack detection rate. Further, we have shown that our lightweight NIDS scheme has significantly reduced the computational complexity throughout the architecture, making it feasible to the edge, while maintaining a similar attack type detection quality compared with its original fully-connected neural network.","2327-4662","","10.1109/JIOT.2021.3078292","Samsung Research Funding and Incubation Center of Samsung Electronics(grant numbers:SRFC-IT1803-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425583","Network Intrusion Detection System;On-Device AI;Anomaly Classification;Feature Extraction.","Feature extraction;Neurons;Image edge detection;Network intrusion detection;Internet of Things;Computational modeling;Probabilistic logic","","","","2","","","IEEE","7 May 2021","","","IEEE","IEEE Early Access Articles"
"Modeling and detecting anomalous topic access","S. Gupta; C. Hanson; C. A. Gunter; M. Frank; D. Liebovitz; B. Malin","Department of Computer Science, University of Illinois at Urbana-Champaign, USA; Department of Computer Science, University of Illinois at Urbana-Champaign, USA; Department of Computer Science, University of Illinois at Urbana-Champaign, USA; Department of Computer Science, University of California, Berkeley, USA; Department of Medicine, Northwestern University, USA; Department of Biomedical Informatics, Vanderbilt University, USA","2013 IEEE International Conference on Intelligence and Security Informatics","15 Aug 2013","2013","","","100","105","There has been considerable success in developing strategies to detect insider threats in information systems based on what one might call the random object access model or ROA. This approach models illegitimate users as ones who randomly access records. The goal is to use statistics, machine learning, knowledge of workflows and other techniques to support an anomaly detection framework that finds such users. In this paper we introduce and study a random topic access model or RTA aimed at users whose access may be illegitimate but is not fully random because it is focused on common semantic themes. We argue that this model is appropriate for a meaningful range of attacks and develop a system based on topic summarization that is able to formalize the model and provide anomalous user detection effectively for it. To this end, we use healthcare as an example and propose a framework for evaluating the ability to recognize various types of random users called random topic access detection or RTAD. Specifically, we utilize a combination of Latent Dirichlet Allocation (LDA), for feature extraction, a k-nearest neighbor (k-NN) algorithm for outlier detection and evaluate the ability to identify different adversarial types. We validate the technique in the context of hospital audit logs where we show varying degrees of success based on user roles and the anticipated characteristics of attackers. In particular, it was found that RTAD exhibits strong performance for roles are described by a few topics, but weaker performance when users are more topic-agnostic.","","978-1-4673-6213-9","10.1109/ISI.2013.6578795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578795","Data Mining;Anomaly Detection;Healthcare Security;Electronic Health Records;Access Logs;Insider threats","Hospitals;Medical diagnostic imaging;Context;Information systems;Sociology;Statistics","data mining;feature extraction;health care;learning (artificial intelligence);medical information systems;random processes;security of data","anomalous topic access detection;anomalous topic access modeling;strategy development;insider threat detection;information systems;random object access model;ROA model;random record access;machine learning;statistics;workflow knowledge;anomaly detection framework;random topic access model;RTA;topic summarization;model formalization;anomalous user detection;healthcare;random users;random topic access detection;RTAD;latent Dirichlet allocation;LDA;feature extraction;k-nearest neighbor algorithm;k-NN algorithm;outlier detection;hospital audit logs;user roles;attacker characteristics","","9","","13","","15 Aug 2013","","","IEEE","IEEE Conferences"
"Trustee: A Trust Management System for Fog-enabled Cyber Physical Systems","A. K. Junejo; N. Komninos; M. Sathiyanarayanan; B. S. Chowdhry","Centre of Software Reliability (CSR), City University, 4895 London, London United Kingdom of Great Britain and Northern Ireland EC1V 0HB (e-mail: aisha.junejo@city.ac.uk); Computer Science, INTO City University London, 425941 London, London United Kingdom of Great Britain and Northern Ireland (e-mail: nikos.komninos.1@city.ac.uk); Computer Science, City University of London, London, London United Kingdom of Great Britain and Northern Ireland (e-mail: mithileysh.sathiyanarayanan@city.ac.uk); Electronics Engineering, Mehran University of Engineering and Technology, 66732 Jamshoro, Sindh Pakistan (e-mail: bhawani.chowdhry@faculty.muet.edu.pk)","IEEE Transactions on Emerging Topics in Computing","","2019","PP","99","1","1","In this paper, we propose a lightweight trust management system (TMS) for fog-enabled cyber physical systems (Fog-CPS). Trust computation is based on multi-factor and multi-dimensional parameters, and formulated as a statistical regression problem which is solved by employing random forest regression model. Additionally, as the Fog-CPS systems could be deployed in open and unprotected environments, the CPS devices and fog nodes are vulnerable to numerous attacks namely, collusion, self-promotion, badmouthing, ballot-stuffing, and opportunistic service. The compromised entities can impact the accuracy of trust computation model by increasing/decreasing the trust of other nodes. These challenges are addressed by designing a generic trust credibility model which can countermeasures the compromise of both CPS devices and fog nodes. The credibility of each newly computed trust value is evaluated and subsequently adjusted by correlating it with a standard deviation threshold. The standard deviation is quantified by computing the trust in two configurations of hostile environments and subsequently comparing it with the trust value in a legitimate/normal environment. Our results demonstrate that credibility model successfully countermeasures the malicious behaviour of all Fog-CPS entities. The multi-factor trust assessment and credibility evaluation enable accurate and precise trust computation and guarantee a dependable Fog-CPS system.","2168-6750","","10.1109/TETC.2019.2957394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8922644","Cyber Physical Systems;Fog Computing;Trust Computation;Trust Credibility","Computational modeling;Ad hoc networks;Mobile computing;Quality of service;Cloud computing;Edge computing","","","","1","","","IEEE","4 Dec 2019","","","IEEE","IEEE Early Access Articles"
"An Effective Mechanism to Mitigate Real-Time DDoS Attack","R. Abubakar; A. Aldegheishem; M. Faran Majeed; A. Mehmood; H. Maryam; N. Ali Alrajeh; C. Maple; M. Jawad","Department of Computer Science, University of Sahiwal, Sahiwal, Pakistan; Urban Planning Department, Traffic Safety Technologies Chair, College of Architecture and Planning, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Shaheed Benazir Bhutto University Sheringal, Sheringal, Pakistan; WMG, University of Warwick, Coventry, U.K.; Department of Computer Science, COMSATS University, Islamabad, Pakistan; Biomedical Technology Department, College of Applied Medical Sciences, King Saud University, Riyadh, Saudi Arabia; WMG, University of Warwick, Coventry, U.K.; Institute of Computing, Kohat University of Science and Technology, Kohat, Pakistan","IEEE Access","16 Jul 2020","2020","8","","126215","126227","Computer networks are subject to an unprecedented number and variety of attack, the majority of which are distributed denial of service (DDoS). The nature and mechanisms employed in these DDoS attacks continually change, creating a significant challenge for detection and management. To address this evolving nature of attacks, approaches are required that can effectively detect and mitigate emerging attacks. In this paper, we provide a mechanism that not only detects the presence of a DDoS attacks but also identifies the route of attack and commences a process of mitigation at the initial stage of identification. The proposed research involves an optimized SVM classification algorithm integrated with SNORT IPS to provide prevention mechanisms for the entire network when subject to DDoS attack. The proposed IPS method allows traffic identified as legitimate to pass through the network, whereas suspect traffic is flagged and has to go through an identification system. We present the algorithm with experimental results that show better performance than simple Snort IPS, Probabilistic Neural Network (PNN), Back Propagation (BP), Chi-square, and PSO-SVM in terms of accuracy, exposure and specificity. These results show that the average accuracy rate of our method is 97 percent.","2169-3536","","10.1109/ACCESS.2020.2995820","EP/N510129/1 (The Alan Turing Institute); EP/S035362/1 (PETRAS National Centre of Excellence for IoT Systems Cybersecurity); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097187","DDoS;network attacks;IP networks;security;dataset","Computer crime;IP networks;Support vector machines;Real-time systems;Probabilistic logic;Internet","computer network security;IP networks;pattern classification;support vector machines;telecommunication traffic","prevention mechanisms;real-time DDoS attack mitigation;computer networks;DDoS attack detection;Distributed Denial of Service attack;optimized SVM classification;SNORT IPS;identification system;network traffic","","4","","41","CCBY","20 May 2020","","","IEEE","IEEE Journals"
"Machine Tools Fingerprinting for Distributed Numerical Control Systems","W. Huang; Z. Jin; N. Li; C. Liu; M. Li","University of Chinese Academy of Sciences,School of Cyber Security,Beijing,China,100049; University of Chinese Academy of Sciences,School of Cyber Security,Beijing,China,100049; Chinese Academy of Sciences,Institute of Information Engineering,Beijing,China,100093; Chinese Academy of Sciences,Institute of Information Engineering,Beijing,China,100093; Chinese Academy of Sciences,Institute of Information Engineering,Beijing,China,100093","2019 IEEE 44th Conference on Local Computer Networks (LCN)","13 Feb 2020","2019","","","348","355","As machine tools are connected to Industrial Ethernet and external interfaces in the wave of the fourth industrial revolution, new attacks and vulnerabilities are emerging. However, there is little security analysis on Distributed Numerical Control (DNC) system and Computerized Numerical Control (CNC) system. Researchers have demonstrated how to combine the characteristics of Industrial Control System (ICS) to augment existing Intrusion Detection System (IDS) solutions. To the best of our knowledge, there is no such work on DNC network. In response to this situation, a fingerprinting method is proposed as an enhancement technology to existing IDS for DNC systems. The first step is to extract the number of data collection points of each machine tool and the length of TCP payload of each packet. And the second step is to use data response processing times of machine tools to construct unique fingerprint for each machine. Finally, the optimum period slice k is selected and classification accuracy is evaluated using a real-world dataset from a small-scale smart factory. It is demonstrated that our fingerprinting method can be a valuable tool to enhance IDS for DNC network.","0742-1303","978-1-7281-1028-8","10.1109/LCN44214.2019.8990891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990891","Fingerprint;machine tools;Distributed Numerical Control system;Machine Data Collection system","","computerised numerical control;industrial control;local area networks;machine tools;pattern classification;production engineering computing;production facilities;security of data;transport protocols","machine tool;industrial ethernet;fourth industrial revolution;computerized numerical control system;IDS;DNC network;fingerprinting method;data response processing times;distributed numerical control system;security analysis;CNC system;industrial control system;ICS;intrusion detection system;TCP payload;small-scale smart factory;pattern classification","","1","","19","","13 Feb 2020","","","IEEE","IEEE Conferences"
"Swarm Intelligence Based Feature Selection for Intrusion and Detection System in Cloud Infrastructure","V. Ravindranath; S. Ramasamy; R. Somula; K. S. Sahoo; A. H. Gandomi","VIT University,School of Computer Science & Engg.,Vellore,India; VIT University,School of Computer Science & Engg.,Vellore,India; VNR VJIET,Department of IT,Hyderabad,India; VNR VJIET,Department of Information Technology,Hyderabad,India; University of Technology Sydney,Faculty of Engineering & Information Technology,Sydney,Australia","2020 IEEE Congress on Evolutionary Computation (CEC)","3 Sep 2020","2020","","","1","6","Network intrusion and cyber attacks are the most severe concern for Cloud computing service providers. The vulnerability of attacks is on a hike that manual or simple rule-based detection of cyber-attacks is not robust. In order to tackle cyber attacks in a reliable manner, an automated Intrusion Detection system equipped with a swarm intelligence (SI) based machine learning model (ML) is essential to deploy at entry points of the network. Nowadays, the application of SI with ML is used in various research areas. For an efficient IDS, choosing relevant features from the noisy data is an open question. In this regard, this paper proposes a method that utilizes the Whale Pearson hybrid feature selection wrapper for reducing the irrelevancy in the IDS model. Whale Pearson hybrid wrapper is an improved version of the binary Whale optimization Algorithm (WOA). The WOA is a type of SI algorithm which is inspired by the behavior of humpback whales. The proposed method has chosen 8 out of 42 features from the Hackereath Network attack prediction data-set, which are sufficient for building an efficient Intrusion detection model. The model trained with the eight features produces an accuracy of 80%, which is 8% greater than the accuracy produced by the original data-set with the KNN algorithm on ten-fold cross-validation.","","978-1-7281-6929-3","10.1109/CEC48606.2020.9185887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185887","Intrusion Detection;Cloud Computing;Machine Learning;Feature Selection;Whale Pearson wrapper","Whales;Cloud computing;Feature extraction;Intrusion detection;Correlation;Particle swarm optimization;Machine learning","cloud computing;computer network security;feature selection;learning (artificial intelligence);optimisation;swarm intelligence","cloud infrastructure;network intrusion;cloud computing service providers;rule-based detection;cyber-attacks;automated intrusion detection system;swarm intelligence based machine learning model;Whale Pearson hybrid feature selection wrapper;IDS model;Whale Pearson hybrid wrapper;binary whale optimization algorithm;Hackereath Network attack prediction data-set;model training","","1","","33","","3 Sep 2020","","","IEEE","IEEE Conferences"
"Radar-Based Human Target Detection using Deep Residual U-Net for Smart Home Applications","M. Stephan; A. Santra",Infineon Technologies AG; Infineon Technologies AG,"2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA)","17 Feb 2020","2019","","","175","182","We present a radar-based detection processing framework for accurate detection and counting of human targets in an indoor environment. This can be used to control lighting, heating, ventilation and air conditioning (HVAC) in smart homes and other presence related loads in commercial, office, and public spaces. Such smart home applications can facilitate monitoring, controlling, and saving energy. Conventionally, the radar range-Doppler processing pipeline includes moving target indicators (MTI) to remove static targets, maximal ratio combining (MRC) to integrate data across antennas, constant false alarm rate (CFAR) based detectors and then clustering algorithms to generate the target range-Doppler detections. However, the conventional pipeline suffers from ghost targets and multi-path reflections from static objects such as walls, furniture, etc. Further, conventional parametric clustering algorithms lead to single target splits and adjacent target merges in the target range-Doppler detections. To overcome such issues, we propose a deep residual U-net architecture that generates human target detections directly from static target removed range-Doppler images (RDI). To train this network, we record RDIs from a variety of indoor scenes with different configurations and multiple humans targets. We devise a custom loss function and apply augmentation strategies to generalize this model during real-time inference of the model. We demonstrate that the proposed network can efficiently learn to detect and correctly count human targets under different indoor environments while the conventional signal processing pipeline fails.","","978-1-7281-4550-1","10.1109/ICMLA.2019.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999233","60 GHz mm-wave radar;deep residual UNet;Receiver Operating Characteristics;Detection Strategy;DBSCAN;People Counting","Chirp;Radar antennas;Doppler radar;Object detection;Pipelines;Clustering algorithms","Doppler radar;learning (artificial intelligence);object detection;radar detection;radar imaging;radar tracking;target tracking;ultra wideband radar","radar-based human target detection;deep residual U-net;radar-based detection processing framework;heating-ventilation and air conditioning;smart homes;radar range-Doppler processing pipeline;constant false alarm rate based detectors;target range-Doppler detections;ghost targets;parametric clustering algorithms;single target splits;adjacent target merges;human target detections;static target removed range-Doppler images;multiple humans targets;signal processing pipeline;indoor environment;maximal ratio combining;constant false alarm rate","","10","","24","","17 Feb 2020","","","IEEE","IEEE Conferences"
"Threat Modeling of Wireless Attacks on Advanced Metering Infrastructure","M. H. Haider; S. B. Saleem; J. Rafaqat; N. Sabahat","Forman Christian College (A Chartered University),Department of Computer Science,Lahore,Pakistan; Forman Christian College (A Chartered University),Department of Computer Science,Lahore,Pakistan; Forman Christian College (A Chartered University),Department of Computer Science,Lahore,Pakistan; Forman Christian College (A Chartered University),Department of Computer Science,Lahore,Pakistan","2019 13th International Conference on Mathematics, Actuarial Science, Computer Science and Statistics (MACS)","5 Mar 2020","2019","","","1","6","Cyber physical systems are playing an essential role to increase the efficiency of integrated computational and physical elements. Especially, Advanced Metering Infrastructure proves to be useful for customers and consumer companies for efficient usage of energy and its cost calculations. However, such systems are more prone to cyber-attacks because of frequent real time communication between the providers and customers. The wireless and wired networks are used as the source of communication between the various components of AMI. In this study, we have done threat modelling to identify possible wireless attacks to compromise the AMI assets. We have used STRIDE and DREAD models for threat modelling. One of the major contributions of this study is classification and risk ratings of wireless attacks using STRIDE and DREAD models.","","978-1-7281-4956-1","10.1109/MACS48846.2019.9024779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024779","AMI;STRIDE and DREAD modelling;Wireless attacks;Smart meters","Computer crime;Wireless communication;Smart meters;Meters;Communication system security;Phasor measurement units","cyber-physical systems;metering;power engineering computing;power meters;power system security;telecommunication security;wireless sensor networks","wireless attacks;threat modeling;Advanced Metering Infrastructure;cyber physical systems;cyber-attacks;frequent real time communication;wireless wired networks;AMI assets;DREAD model;STRIDE model","","","","19","","5 Mar 2020","","","IEEE","IEEE Conferences"
"Probabilistic model checking for AMI intrusion detection","M. Q. Ali; E. Al-Shaer","Department of Software and Information Systems, University of North Carolina Charlotte, USA; Department of Software and Information Systems, University of North Carolina Charlotte, USA","2013 IEEE International Conference on Smart Grid Communications (SmartGridComm)","19 Dec 2013","2013","","","468","473","Smart grids provide bi-directional communication between smart meters at user premises and utility provider for the purpose of efficient energy management through Advanced Metering Infrastructure (AMI). Recent studies have shown that the potential threats targeting AMI are significant. Despite the need of developing intrusion detection systems (IDS) tailored for the smart grid [4], very limited progress has been made in this area so far. Unlike traditional networks, smart grid has its unique challenges, such as limited computational power devices and potentially high deployment cost, which restrict the deployment options of intrusion detectors. However, smart grid exhibits behavior that can be accurately modeled based on its configuration, which can be exploited to design efficient intrusion detectors. In this paper, we show that AMI behavior can be modeled using event logs collected at smart collectors, which in turn can be verified using the specifications invariant generated from the configurations of the AMI devices. We model the AMI behavior using the fourth order Markov chain and the stochastic model is then probabilistically verified using specifications written in Linear Temporal Logic. Our model is capable of detecting malicious behavior in the AMI network due to intrusions or device malfunctioning. We validate our approach on a real-world dataset of thousands of meters collected at the AMI of a leading utility provider.","","978-1-4799-1526-2","10.1109/SmartGridComm.2013.6688002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6688002","","Markov processes;Smart grids;Correlation;Entropy;Monitoring;Accuracy","energy management systems;Markov processes;power engineering computing;safety systems;smart meters;smart power grids;temporal logic","advanced metering infrastructure;AMI;intrusion detection systems;IDS;probabilistic model checking;smart grids;bidirectional communication;smart meters;user premises;utility provider;energy management;event log collection;smart collectors;fourth order Markov chain;stochastic model;linear temporal logic;malicious behavior detection;device malfunctioning;real-world dataset","","3","","14","","19 Dec 2013","","","IEEE","IEEE Conferences"
"On the Generation of Anomaly Detection Datasets in Industrial Control Systems","Á. L. Perales Gómez; L. Fernández Maimó; A. Huertas Celdrán; F. J. García Clemente; C. Cadenas Sarmiento; C. J. Del Canto Masa; R. Méndez Nistal","Departamento de Ingeniería y Tecnología de Computadores, University of Murcia, Murcia, Spain; Departamento de Ingeniería y Tecnología de Computadores, University of Murcia, Murcia, Spain; Telecommunications Software and Systems Group, Waterford Institute of Technology, Waterford, Ireland; Departamento de Ingeniería y Tecnología de Computadores, University of Murcia, Murcia, Spain; Instituto Nacional de Ciberseguridad de España, INCIBE, León, Spain; Instituto Nacional de Ciberseguridad de España, INCIBE, León, Spain; Instituto Nacional de Ciberseguridad de España, INCIBE, León, Spain","IEEE Access","16 Dec 2019","2019","7","","177460","177473","In recent decades, Industrial Control Systems (ICS) have been affected by heterogeneous cyberattacks that have a huge impact on the physical world and the people's safety. Nowadays, the techniques achieving the best performance in the detection of cyber anomalies are based on Machine Learning and, more recently, Deep Learning. Due to the incipient stage of cybersecurity research in ICS, the availability of datasets enabling the evaluation of anomaly detection techniques is insufficient. In this paper, we propose a methodology to generate reliable anomaly detection datasets in ICS that consists of four steps: attacks selection, attacks deployment, traffic capture and features computation. The proposed methodology has been used to generate the Electra Dataset, whose main goal is the evaluation of cybersecurity techniques in an electric traction substation used in the railway industry. Using the Electra dataset, we train several Machine Learning and Deep Learning models to detect anomalies in ICS and the performed experiments show that the models have high precision and, therefore, demonstrate the suitability of our dataset for use in production systems.","2169-3536","","10.1109/ACCESS.2019.2958284","Spanish Ministry of Science, Innovation and Universities(grant numbers:RTI2018-095855-B-I00); Government of Ireland, through the IRC Post-Doc Fellowship(grant numbers:GOIPD/2018/466); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8926471","Anomaly detection;critical infrastructures;industrial control;industrial control systems;industry applications;machine learning","Anomaly detection;Feature extraction;Industrial control;Protocols;Machine learning;Integrated circuit modeling","control engineering computing;industrial control;learning (artificial intelligence);manufacturing systems;production engineering computing;security of data","industrial control systems;ICS;heterogeneous cyberattacks;cyber anomalies;machine learning;incipient stage;cybersecurity research;anomaly detection techniques;attacks selection;attacks deployment;traffic capture;features computation;cybersecurity techniques;railway industry;Electra dataset;production systems;deep learning models","","4","","44","CCBY","6 Dec 2019","","","IEEE","IEEE Journals"
