"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of Contents","",,"2020 IEEE 6th International Conference on Computer and Communications (ICCC)","12 Feb 2021","2020","","","iii","xxxvii","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-8635-1","10.1109/ICCC51575.2020.9345054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345054","","","","","","","","","","12 Feb 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 International Conference On Cyber Situational Awareness, Data Analytics And Assessment (Cyber SA)","29 Nov 2018","2018","","","1","11","Presents the table of contents/splash page of the proceedings record.","","978-1-5386-4565-9","10.1109/CyberSA.2018.8551454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8551454","","","","","","","","","","29 Nov 2018","","","IEEE","IEEE Conferences"
"[SoftCOM 2020 Front matter]","",,"2020 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","28 Oct 2020","2020","","","i","xv","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","1847-358X","978-953-290-099-6","10.23919/SoftCOM50211.2020.9238261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238261","","","","","","","","","","28 Oct 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM)","17 Mar 2021","2021","","","1","16","Presents the table of contents/splash page of the proceedings record.","","978-1-6654-2318-2","10.1109/IMCOM51814.2021.9377393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377393","","","","","","","","","","17 Mar 2021","","","IEEE","IEEE Conferences"
"Program","",,"2020 International Conference on COMmunication Systems & NETworkS (COMSNETS)","9 Mar 2020","2020","","","2","10","Provides a schedule of conference events and a listing of which papers were presented in each session.","2155-2509","978-1-7281-3187-0","10.1109/COMSNETS48256.2020.9027400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9027400","","","","","","","","","","9 Mar 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 International Conference on Computational Science and Computational Intelligence (CSCI)","23 Jun 2021","2020","","","5","39","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-7624-6","10.1109/CSCI51800.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458072","","","","","","","","","","23 Jun 2021","","","IEEE","IEEE Conferences"
"CCC 2020 Contents","",,"2020 39th Chinese Control Conference (CCC)","9 Sep 2020","2020","","","1","59","Presents the table of contents/splash page of the proceedings record.","1934-1768","978-9-8815-6390-3","10.23919/CCC50068.2020.9188973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9188973","","","","","","","","","","9 Sep 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN)","24 Dec 2020","2020","","","xxix","xxxiii","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-8159-2","10.1109/NFV-SDN50289.2020.9289874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289874","","","","","","","","","","24 Dec 2020","","","IEEE","IEEE Conferences"
"Table of Content","",,"2020 25th International Conference on Pattern Recognition (ICPR)","5 May 2021","2021","","","1","85","Presents the table of contents/splash page of the proceedings record.","1051-4651","978-1-7281-8808-9","10.1109/ICPR48806.2021.9413137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9413137","","","","","","","","","","5 May 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 3rd International conference on Electronics, Communication and Aerospace Technology (ICECA)","2 Sep 2019","2019","","","i","xx","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-0167-5","10.1109/ICECA.2019.8821952","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821952","","","","","","","","","","2 Sep 2019","","","IEEE","IEEE Conferences"
