"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cyber-Security of Decentralized and Distributed Control Architectures with Machine-Learning Detectors for Nonlinear Processes","S. Chen; Z. Wu; P. D. Christofides","University of California,Department of Chemical and Biomolecular Engineering,Los Angeles,CA,USA,90095-1592; University of California,Department of Chemical and Biomolecular Engineering,Los Angeles,CA,USA,90095-1592; University of California,Department of Chemical and Biomolecular Engineering and the Department of Electrical and Computer Engineering,Los Angeles,CA,USA,90095-1592","2021 American Control Conference (ACC)","28 Jul 2021","2021","","","3273","3280","With the expansion in communication networks, vulnerability to cyber intrusions also increases. This work investigates the effect of different types of standard cyber-attacks on the operation of nonlinear processes under decentralized and distributed model predictive control (MPC) systems. The robustness of the decentralized control architecture over distributed control architecture is analyzed. Moreover, a machine-learning-based detector is trained using sensor data to monitor the cyber security of the overall system. Specifically, detectors built using feed-forward neural networks are used to detect the presence of an attack. A nonlinear chemical process example is simulated to demonstrate the robustness of decentralized control architectures and the effectiveness of the neural-network detection scheme in maintaining the closed-loop stability of the system.","2378-5861","978-1-6654-4197-1","10.23919/ACC50511.2021.9482664","National Science Foundation; Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9482664","","Decentralized control;Neural networks;Detectors;Stability analysis;Robustness;Chemical processes;Thermal stability","closed loop systems;computer crime;decentralised control;distributed control;feedforward neural nets;learning (artificial intelligence);predictive control;robust control","machine-learning-based detector;standard cyber-attacks;communication networks;nonlinear processes;machine-learning detectors;distributed control architecture;neural-network detection scheme;decentralized control architecture;nonlinear chemical process;feed-forward neural networks;cyber security","","","","18","","28 Jul 2021","","","IEEE","IEEE Conferences"
"Research on Intrusion Detection Method Based on Generative Adversarial Network","J. Zhang; Y. Zhao","Beijing University of Chemical Technology,College for Information Science and Technology,Beijing,China; Beijing University of Chemical Technology,College for Information Science and Technology,Beijing,China","2021 International Conference on Big Data Analysis and Computer Science (BDACS)","23 Aug 2021","2021","","","264","268","Intrusion detection technology has always been a hot topic in the field of network security research. Now different types of intrusion traffic in the real network environment are imbalanced, which lead to poor recognition rate of classification models when dealing with rare attack types with few training samples. In order to solve the above problems, a new VAE-GAN model is proposed by combining VAE with GAN and optimizing the loss function to generate high-quality intrusion samples more efficiently and stably. In the training phase, original samples and generated samples are mixed as the input of classifiers. The experimental results show that the proposed VAE-GAN model has stronger stability and faster model convergence speed in the process of generating data. For small-sample data, the Recall and F1-score are significantly improved by using the generated samples of VAE-GAN model as the training set of classifiers.","","978-1-6654-2561-2","10.1109/BDACS53596.2021.00065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516484","Intrusion detection;samples class imbalance;Generative Adversarial Network;Variational Auto-Encoder;Deep learning","Training;Computer science;Intrusion detection;Generative adversarial networks;Data models;Stability analysis;Security","computer network security;Internet;learning (artificial intelligence);neural nets","VAE-GAN model;faster model convergence speed;small-sample data;intrusion detection method;generative adversarial network;intrusion detection technology;network security research;intrusion traffic;network environment;recognition rate;classification models;rare attack types;training samples;high-quality intrusion samples;training phase;loss function;F1-score;variational autoencoder","","","","8","","23 Aug 2021","","","IEEE","IEEE Conferences"
"Resilient Machine Learning for Networked Cyber Physical Systems: A Survey for Machine Learning Security to Securing Machine Learning for CPS","F. O. Olowononi; D. B. Rawat; C. Liu","Department of Electrical Engineering and Computer Science, Data Science and Cybersecurity Center (DSC2), Howard University, Washington, DC, USA; Department of Electrical Engineering and Computer Science, Data Science and Cybersecurity Center (DSC2), Howard University, Washington, DC, USA; Department of Electrical Engineering and Computer Science, Data Science and Cybersecurity Center (DSC2), Howard University, Washington, DC, USA","IEEE Communications Surveys & Tutorials","23 Feb 2021","2021","23","1","524","552","Cyber Physical Systems (CPS) are characterized by their ability to integrate the physical and information or cyber worlds. Their deployment in critical infrastructure have demonstrated a potential to transform the world. However, harnessing this potential is limited by their critical nature and the far reaching effects of cyber attacks on human, infrastructure and the environment. An attraction for cyber concerns in CPS rises from the process of sending information from sensors to actuators over the wireless communication medium, thereby widening the attack surface. Traditionally, CPS security has been investigated from the perspective of preventing intruders from gaining access to the system using cryptography and other access control techniques. Most research work have therefore focused on the detection of attacks in CPS. However, in a world of increasing adversaries, it is becoming more difficult to totally prevent CPS from adversarial attacks, hence the need to focus on making CPS resilient. Resilient CPS are designed to withstand disruptions and remain functional despite the operation of adversaries. One of the dominant methodologies explored for building resilient CPS is dependent on machine learning (ML) algorithms. However, rising from recent research in adversarial ML, we posit that ML algorithms for securing CPS must themselves be resilient. This article is therefore aimed at comprehensively surveying the interactions between resilient CPS using ML and resilient ML when applied in CPS. The paper concludes with a number of research trends and promising future research directions. Furthermore, with this article, readers can have a thorough understanding of recent advances on ML-based security and securing ML for CPS and countermeasures, as well as research trends in this active research area.","1553-877X","","10.1109/COMST.2020.3036778","USA NSF(grant numbers:CNS/SaTC 2039583,CNS 1650831,1828811); DoD Center of Excellence in AI and Machine Learning at Howard University(grant numbers:W911NF-20-2-0277); USA Army Research Laboratory; USA Department of Homeland Security(grant numbers:2017-ST-062-000003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9252851","Adversarial attacks;cybersecurity;machine learning;resiliency in cyber physical systems","Security;Computer security;Machine learning;Wireless sensor networks;Resilience;Sensor systems;Computers","authorisation;computer network security;cryptography;cyber-physical systems;learning (artificial intelligence);radiocommunication;telecommunication computing","machine learning security;securing machine learning;cyber attacks;CPS security;machine learning algorithms;networked cyber physical systems;wireless communication medium;cryptography;access control techniques;CPS attack detection;adversarial attacks;adversarial ML algorithm","","13","","193","IEEE","9 Nov 2020","","","IEEE","IEEE Journals"
"New developments in network forensics — Tools and techniques","R. Hunt","Department of Computer Science, University of Canterbury, New Zealand","2012 18th IEEE International Conference on Networks (ICON)","22 Apr 2013","2012","","","376","381","Network forensics is a branch of digital forensics which has evolved recently as a very important discipline used in monitoring and analysing network traffic - particularly for the purposes of tracing intrusions and attacks. This paper presents an analysis of the tools and techniques used in network forensic analysis. It further examines the application of network forensics to vital areas such as malware and network attack detection; IP traceback and honeypots; and intrusion detection. Further, the paper addresses new and emerging areas of network forensic development which include critical infrastructure forensics, wireless network forensics, as well as its application to social networking.","2332-5798","978-1-4673-4523-1","10.1109/ICON.2012.6506587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6506587","network and digital forensics;intrusion detection;network forensic tools;malware;IP traceback;honeypot;critical infrastructure and botnet forensics","Malware;Intrusion detection;Digital forensics;Telecommunication traffic;Protocols","digital forensics;radio networks;social networking (online)","digital forensics;network traffic analysis;intrusion tracing;attack tracing;malware;network attack detection;IP traceback;honeypots;intrusion detection;network forensic development;critical infrastructure forensics;wireless network forensics;social networking","","4","","7","","22 Apr 2013","","","IEEE","IEEE Conferences"
"Financial Crime & Fraud Detection Using Graph Computing: Application Considerations & Outlook","E. Kurshan; H. Shen; H. Yu",Columbia University; University of Alabama in Huntsville; Georgia Institute of Technology,"2020 Second International Conference on Transdisciplinary AI (TransAI)","13 Nov 2020","2020","","","125","130","In recent years, the unprecedented growth in digital payments fueled consequential changes in fraud and financial crimes. In this new landscape, traditional fraud detection approaches such as rule-based engines have largely become ineffective. AI and machine learning solutions using graph computing principles have gained significant interest. Graph neural networks and emerging adaptive solutions provide compelling opportunities for the future of fraud and financial crime detection. However, implementing the graph-based solutions in financial transaction processing systems has brought numerous obstacles and application considerations to light. In this paper, we overview the latest trends in the financial crimes landscape and discuss the implementation difficulties current and emerging graph solutions face. We argue that the application demands and implementation challenges provide key insights in developing effective solutions.","","978-1-7281-8699-3","10.1109/TransAI49837.2020.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253149","Artificial Intelligence;Machine Learning;Fraud Detection;Financial Crime Detection;Money Laundering;Graph Computing;Algorithms","Adaptive systems;Machine learning;Market research;Graph neural networks;Faces;Engines","computer crime;consumer behaviour;data mining;financial data processing;fraud;graph theory;learning (artificial intelligence);neural nets;transaction processing","AI machine learning solutions;graph computing principles;graph neural networks;adaptive solutions;financial crime detection;graph-based solutions;financial transaction;financial crimes landscape;graph solutions face;digital payments;consequential changes;rule-based engines;fraud detection;financial crime","","1","","85","","13 Nov 2020","","","IEEE","IEEE Conferences"
"Self-Adaption AAE-GAN for Aluminum Electrolytic Cell Anomaly Detection","D. Cao; D. Liu; X. Ren; N. Ma","School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; School of Information Science and Technology, North China University of Technology, Beijing, China; College of Robotics, Beijing Union University, Beijing, China","IEEE Access","21 Jul 2021","2021","9","","100991","101002","Nowadays, the anomaly detection of aluminum electrolysis cell is a big problem in the aluminum electrolysis industry. The problem of unbalanced time series samples is common in industrial applications. The number of samples under normal conditions is much larger than that under abnormal conditions. In the electrolytic aluminum industry, this problem is even more serious, it is very difficult to find abnormal samples in industrial production because experts do not have a clear criterion to judge abnormalities. In traditional machine learning algorithms, such as support vector machine (SVM) and convolutional neural network (CNN), it is difficult to obtain high classification accuracy on the problem of class imbalance, and these methods tend to be more biased towards positive samples. In recent years, generative adversarial network (GAN) has become more and more popular in the field of anomaly detection. However, these methods need to find the best mapping from the actual space to the latent space in the anomaly detection stage, and the optimization process may bring new errors and take a long time. In this article, we use the ability of GAN to model complex high-dimensional image distribution, and propose a self-adaption AAE-GAN network based on adaptive changes of input samples. This time series anomaly detection method converts multi-dimensional time series data into a two-dimensional matrix, and only normal samples are needed in the training process, which effectively solves the above problems. The method we proposed is to use encoder and decoder to constitute a generator and a discriminator. During the training process, the generator and the discriminator are trained jointly and confrontationally, so that the mapping ability of the encoder can be fully reflected. In the anomaly detection stage, we determine whether the sample is abnormal according to the size of the reconstruction difference. Experimental results show that the detection accuracy and speed of this method are very high.","2169-3536","","10.1109/ACCESS.2021.3097116","Yuyou Talent Support Plan of North China University of Technology(grant numbers:107051360019XN132/017); Fundamental Research Funds for Beijing Universities(grant numbers:110052971803/037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9483933","Aluminum electrolytic cell;anomaly detection;AAE-GAN;multivariate time series;imbalanced industrial time series","Anomaly detection;Time series analysis;Aluminum;Production;Generative adversarial networks;Image reconstruction;Generators","","","","","","68","CCBY","14 Jul 2021","","","IEEE","IEEE Journals"
"Secure and Private Smart Grid: The SPEAR Architecture","P. R. Grammatikis; P. Sarigiannidis; E. Iturbe; E. Rios; A. Sarigiannidis; O. Nikolis; D. Ioannidis; V. Machamint; M. Tzifas; A. Giannakoulias; M. Angelopoulos; A. Papadopoulos; F. Ramos","University of Western Macedonia,Department of Electrical and Computer Engineering,Kozani,Greece,50100; TECNALIA, Basque Research and Technology Alliance (BRTA),Derio,Spain; TECNALIA, Basque Research and Technology Alliance (BRTA),Derio,Spain; TECNALIA, Basque Research and Technology Alliance (BRTA),Derio,Spain; Sidroco Holdings Ltd,Limassol,Cyprus,3113; Center for Research and Technology Hellas / Information Technologies Institute,6th km Charilaou-Thermi Road, Thessaloniki,Greece; Center for Research and Technology Hellas / Information Technologies Institute,6th km Charilaou-Thermi Road, Thessaloniki,Greece; Eight Bells Ltd,Agias paraskevis 23, P.C. 2002, Strovolos, Nicosia,Cyprus; Eight Bells Ltd,Agias paraskevis 23, P.C. 2002, Strovolos, Nicosia,Cyprus; European Dynamics,12, Jean Engling str.,Luxembourg,L-1466; University of Piraeus and the Testing Research & Standards Center / Public Power Corporation SA,Department of Economics,Leontariou 9, Kantza, Athens, Attica,15351; Testing Research & Standards Center / Public Power Corporation SA,Leontariou 9, Kantza, Athens, Attica,15351; Schneider Electric, Charles Darwin s/n, Edificio Bogaris,Sevilla,Spain,41092","2020 6th IEEE Conference on Network Softwarization (NetSoft)","12 Aug 2020","2020","","","450","456","Information and Communication Technology (ICT) is an integral part of Critical Infrastructures (CIs), bringing both significant pros and cons. Focusing our attention on the energy sector, ICT converts the conventional electrical grid into a new paradigm called Smart Grid (SG), providing crucial benefits such as pervasive control, better utilisation of the existing resources, self-healing, etc. However, in parallel, ICT increases the attack surface of this domain, generating new potential cyberthreats. In this paper, we present the Secure and PrivatE smArt gRid (SPEAR) architecture which constitutes an overall solution aiming at protecting SG, by enhancing situational awareness, detecting timely cyberattacks, collecting appropriate forensic evidence and providing an anonymous cybersecurity information-sharing mechanism. Operational characteristics and technical specifications details are analysed for each component, while also the communication interfaces among them are described in detail.","","978-1-7281-5684-2","10.1109/NetSoft48620.2020.9165420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165420","Anomaly Detection;Anonymity;Cybersecurity;Forensics;Honeypots;Intrusion Detection;Privacy;Smart Grid","Computer architecture;Forensics;Electronic mail;Computer crime;Smart grids","critical infrastructures;power engineering computing;security of data;smart power grids","information and communication technology;secure and private smart grid architecture;SPEAR architecture;anonymous cybersecurity information-sharing mechanism;SG protection;attack surface;pervasive control;conventional electrical grid;ICT;energy sector;critical infrastructures","","4","","37","","12 Aug 2020","","","IEEE","IEEE Conferences"
"Semi-Supervised Encrypted Traffic Classification With Deep Convolutional Generative Adversarial Networks","A. S. Iliyasu; H. Deng","Department of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Computer Science and Engineering, South China University of Technology, Guangzhou, China","IEEE Access","2 Jan 2020","2020","8","","118","126","Network traffic classification serves as a building block for important tasks such as security and quality of service management. The field has been studied for a long time, with many techniques such as classical machine learning and deep learning methods currently available. However, the emergence of stronger encryption protocols has led to the rise of new challenges. One of the challenges is capturing and labeling a large amount of encrypted traffic data especially for training deep learning classifiers, as current techniques rely on deep packet inspection tools (DPI) which perform poorly on encrypted traffic. In this paper, we propose a semi-supervised learning approach using Deep Convolutional Generative Adversarial Network (DCGAN). The basic idea is to utilize the samples generated by DCGAN generators as well as unlabeled data to improve the performance of a classifier trained on a few labeled samples. Thus, alleviating the difficulties associated with large dataset collecting and labeling. To demonstrate the efficacy of our approach, we evaluated our model using a self-collected dataset of the recently established QUIC protocol as well as publicly available ISCX VPN-NonVPN dataset. Our approach is able to achieve 89% and 78% accuracy with a very small number of labeled samples (just 10% of the dataset) on both QUIC and ISCX VPN-NonVPN datasets respectively.","2169-3536","","10.1109/ACCESS.2019.2962106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8941140","Deep convolutional generative adversarial network;encrypted traffic classification;semi-supervised learning","Generative adversarial networks;Deep learning;Generators;Payloads;Protocols;Encryption","computer network management;computer network security;cryptography;data mining;learning (artificial intelligence);pattern classification;telecommunication traffic;virtual private networks","publicly available ISCX VPN-NonVPN dataset;dataset collecting;labeled samples;DCGAN generators;Deep Convolutional Generative Adversarial Network;deep packet inspection tools;deep learning classifiers;encrypted traffic data;stronger encryption protocols;classical machine learning;Network traffic classification;deep convolutional generative adversarial networks;semisupervised encrypted traffic classification","","11","","23","CCBY","24 Dec 2019","","","IEEE","IEEE Journals"
"Contextual, flow-based access control with scalable host-based SDN techniques","C. R. Taylor; D. C. MacFarland; D. R. Smestad; C. A. Shue",Worcester Polytechnic Institute; Worcester Polytechnic Institute; Worcester Polytechnic Institute; Worcester Polytechnic Institute,"IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications","28 Jul 2016","2016","","","1","9","Network operators can better understand their networks when armed with a detailed understanding of the network traffic and host activities. Software-defined networking (SDN) techniques have the potential to improve enterprise security, but the current techniques have well-known data plane scalability concerns and limited visibility into the host's operating context. In this work, we provide both detailed host-based context and fine-grained control of network flows by shifting the SDN agent functionality from the network infrastructure into the end-hosts. We allow network operators to write detailed network policy that can discriminate based on user and program information associated with network flows. In doing so, we find our approach scales far beyond the capabilities of OpenFlow switching hardware, allowing each host to create over 25 new flows per second with no practical bound on the number of established flows in the network.","","978-1-4673-9953-1","10.1109/INFOCOM.2016.7524498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7524498","","Context;Scalability;Security;Hardware;Organizations;Kernel","access control;software defined networking","contextual flow-based access control;scalable host-based SDN technique;software defined networking technique;enterprise security improvemt;data plane scalability concern;host-based context;network flows fine-grained control;SDN agent functionality;OpenFlow switching hardware","","10","","41","","28 Jul 2016","","","IEEE","IEEE Conferences"
"Anomoly Detection for PLC Based on Magnetic Side Channel","R. Zhou; Z. Wang; X. Ji; W. Xu","Zhejiang University,College of Electrical Engineering,Hangzhou,China; Zhejiang University,College of Electrical Engineering,Hangzhou,China; Zhejiang University,College of Electrical Engineering,Hangzhou,China; Zhejiang University,College of Electrical Engineering,Hangzhou,China","2020 IEEE 4th Conference on Energy Internet and Energy System Integration (EI2)","15 Feb 2021","2020","","","3817","3821","Programmable logic controller (PLC) is one of the critical infrastructure in industrial control system, which is therefore vulnerable to a variety of cyber-attacks. To mitigate this issue, we design an anomaly detection system, a novel non-invasive intrusion detection method for PLC. Our system utilizes the magnetic side-channel information around the power supply module of PLC and analyzes the running status rely on the fact that different programs will result in various magnetic characteristic. We design a classification algorithm which can extract representational features from the raw signal, as well as avoid the interference of environmental noise. To validate the idea, we design 3 types of attacks and implement on the prototype of thermal power plant in laboratory. The evaluation shows our system is feasible to detect attacks and achieve an overall detection accuracy above 90%.","","978-1-7281-9606-0","10.1109/EI250167.2020.9347104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9347104","Industrial Control System;PLC;Magnetic Side-channel;Anomaly Detection;Machine Learning","Industrial control;Working environment noise;Prototypes;Feature extraction;Magnetic analysis;Power generation;Anomaly detection","critical infrastructures;industrial control;power system security;programmable controllers;security of data;thermal power stations","anomoly detection;magnetic side channel;programmable logic controller;critical infrastructure;industrial control system;cyber-attacks;anomaly detection system;novel noninvasive intrusion detection method;magnetic side-channel information;power supply module;running status;magnetic characteristic;classification algorithm;representational features;raw signal;thermal power plant;detection accuracy","","","","14","","15 Feb 2021","","","IEEE","IEEE Conferences"
