"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Face Presentation Attack Detection via Spatiotemporal Autoencoder","S. F. Yilmaz; S. S. Kozat","Elektrik ve Elektronik Mühendisliği Bölümü, Bilkent Üniversitesi,Ankara,Türkiye; DataBoss A.S.,Ankara,Türkiye","2020 28th Signal Processing and Communications Applications Conference (SIU)","7 Jan 2021","2020","","","1","4","Wide usage of biometric authentication systems engages attackers. Face presentation attacks try to deceive the machine learning-based system via malicious inputs to the sensor employing tools such as a face mask or photo. Presentation attacks threaten the deployment of face recognition systems to the real-world since security is a priority for an authentication system. In this paper, we propose a Convolutional Long Short Term Memory (ConvLSTM) based Spatiotemporal Autoencoder model. The proposed model only employs the real samples to train the model by minimizing the reconstruction error. The model learns to reconstruct real samples; thus, reconstruct attack samples with higher reconstruction error. The model classifies whether a sample is genuine or not via the scoring function based on the reconstruction error. The proposed model reduces the half total error rate by 22% compared to the commonly used methods in the literature.","2165-0608","978-1-7281-7206-4","10.1109/SIU49456.2020.9302402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302402","Deep learning;autoencoder;spatiotemporal information;face presentation attack","Faces;Face recognition;Spatiotemporal phenomena;Biological system modeling;Authentication;Anomaly detection;Tools","authorisation;biometrics (access control);convolutional neural nets;face recognition;image classification;image reconstruction;learning (artificial intelligence);object detection;recurrent neural nets","face presentation attack detection;reconstruction error minimization;biometric authentication systems;machine learning-based system;malicious inputs;face mask;face recognition systems;authentication system;Convolutional Long Short Term Memory;spatiotemporal autoencoder model;sensor;ConvLSTM;scoring function;half total error rate","","","","","","7 Jan 2021","","","IEEE","IEEE Conferences"
"Security Threats and Artificial Intelligence Based Countermeasures for Internet of Things Networks: A Comprehensive Survey","S. Zaman; K. Alhazmi; M. A. Aseeri; M. R. Ahmed; R. T. Khan; M. S. Kaiser; M. Mahmud","Department of Computer Science and Engineering, Brac University, Dhaka, Bangladesh; National Center for Robotics and Internet of Things Technology, Communication and Information Technology Research Institute, King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia; National Centre for Telecommunication and Defense Systems Technologies, Communication and Information Technology Research Institute, King Abdulaziz City for Science and Technology (KACST), Riyadh, Saudi Arabia; Radio and Radar Communication, Military Technological College, Muscat, Oman; Institute of Information Technology, Jahangirnagar University, Dhaka, Bangladesh; Institute of Information Technology, Jahangirnagar University, Dhaka, Bangladesh; Department of Computer Science, Nottingham Trent University, Nottingham, U.K.","IEEE Access","8 Jul 2021","2021","9","","94668","94690","The Internet of Things (IoT) has emerged as a technology capable of connecting heterogeneous nodes/objects, such as people, devices, infrastructure, and makes our daily lives simpler, safer, and fruitful. Being part of a large network of heterogeneous devices, these nodes are typically resource-constrained and became the weakest link to the cyber attacker. Classical encryption techniques have been employed to ensure the data security of the IoT network. However, high-level encryption techniques cannot be employed in IoT devices due to the limitation of resources. In addition, node security is still a challenge for network engineers. Thus, we need to explore a complete solution for IoT networks that can ensure nodes and data security. The rule-based approaches and shallow and deep machine learning algorithms- branches of Artificial Intelligence (AI)- can be employed as countermeasures along with the existing network security protocols. This paper presented a comprehensive layer-wise survey on IoT security threats, and the AI-based security models to impede security threats. Finally, open challenges and future research directions are addressed for the safeguard of the IoT network.","2169-3536","","10.1109/ACCESS.2021.3089681","Brac University; Nottingham Trent University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9456954","Fuzzy logic;machine leaning;attack vector;IoT protocols;IoT applications","Security;Internet of Things;Encryption;Artificial intelligence;Cryptography;Protocols;Computer crime","artificial intelligence;computer network security;cryptographic protocols;deep learning (artificial intelligence);Internet of Things","deep machine learning algorithms;heterogeneous nodes/objects;Internet of Things networks;security threats;artificial intelligence based countermeasures;layer-wise survey;AI-based security models;IoT security threats;network security protocols;node security;IoT devices;high-level encryption techniques;IoT network;data security;heterogeneous devices","","1","","167","CCBYNCND","16 Jun 2021","","","IEEE","IEEE Journals"
"In-Vehicle Intrusion Detection System on Controller Area Network with Machine Learning Models","S. C. Kalkan; O. K. Sahingoz","Istanbul Kultur University,Computer Engineering Department,Istanbul,Turkey,34158; Istanbul Kultur University,Computer Engineering Department,Istanbul,Turkey,34158","2020 11th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","15 Oct 2020","2020","","","1","6","Parallel with the developing world, transportation technologies have started to expand and change significantly year by year. This change brings with it some inevitable problems. Increasing human population and growing transportation-needs result many accidents in urban and rural areas, and this recursively results extra traffic problems and fuel consumption. It is obvious that the issues brought by this spiral loop needed to be solved with the use of some new technological achievements. In this context, self-driving cars or automated vehicles concepts are seen as a good solution. However, this also brings some additional problems with it. Currently many cars are provided with some digital security systems, which are examined in two phases, internal and external. These systems are constructed in the car by using some type of embedded system (such as the Controller Area Network (CAN)) which are needed to be protected form outsider cyberattacks. These attack can be detected by several ways such as rule based system, anomaly based systems, list based systems, etc. The current literature showed that researchers focused on the use of some artificial intelligence techniques for the detection of this type of attack. In this study, an intrusion detection system based on machine learning is proposed for the CAN security, which is the in-vehicle communication structure. As a result of the study, it has been observed that the decision tree-based ensemble learning models results the best performance in the tested models. Additionally, all models have a very good accuracy levels.","","978-1-7281-6851-7","10.1109/ICCCNT49239.2020.9225442","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225442","machine learning;intrusion detection system;can bus;smart car","Automobiles;Wireless communication;Neural networks;Security;Machine learning;Intrusion detection;Communication systems","automobiles;controller area networks;decision trees;learning (artificial intelligence);security of data;traffic engineering computing;transportation","transportation;urban areas;rural areas;fuel consumption;spiral loop;technological achievements;self-driving cars;automated vehicles concepts;car;digital security systems;embedded system;controller area network;rule based system;list based systems;in-vehicle communication structure;vehicle intrusion detection system;machine learning;transportation technologies;decision tree-based ensemble learning;outsider cyberattacks;artificial intelligence","","1","","18","","15 Oct 2020","","","IEEE","IEEE Conferences"
"HIOA-CPS: Combining Hybrid Input-Output Automaton and Game Theory for Security Modeling of Cyber-Physical Systems","M. Abdallah; S. Mitra; S. Sundaram; S. Bagchi","Purdue University,School of Electrical and Computer Engineering; University of Illinois at Urbana-Champaign,School of Electrical and Computer Engineering; Purdue University,School of Electrical and Computer Engineering; Purdue University,School of Electrical and Computer Engineering","2021 IEEE Security and Privacy Workshops (SPW)","8 Jul 2021","2021","","","253","259","A Cyber-Physical System (CPS) is usually composed of subnetworks where each subnetwork is under ownership of one defender. Security threats on such CPS can be represented by an attack graph where the defenders are required to invest wisely their limited budget in order to protect their critical assets from being compromised. We model such CPS using hybrid input/output automaton (HIOA) where each subnetwork is represented by a HIOA module. We first establish the building blocks needed in our setting. We then present our model that characterizes the continuous time evolution of the investments and discrete transitions between different system’s states (where each state represents a different condition within the system). Finally, we provide a representative real-world CPS to validate our modeling and show its benefit for CPS security.","","978-1-6654-3732-5","10.1109/SPW53761.2021.00044","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474283","Cyber-Physical Systems;Hybrid Input/Output Automaton;Game Theory;Attack Graphs","Privacy;Conferences;Automata;Cyber-physical systems;Security;Game theory;Investment","automata theory;continuous time systems;formal specification;game theory;graph theory;investment;security of data","investments;discrete transitions;different system;real-world CPS;CPS security;HIOA-CPS;security modeling;Cyber-Physical systems;Cyber-Physical System;subnetwork;security threats;attack graph;critical assets;HIOA module","","","","29","","8 Jul 2021","","","IEEE","IEEE Conferences"
"Network Monitoring Using MMT: An Application Based on the User-Agent Field in HTTP Headers","V. H. La; R. Fuentes; A. R. Cavalli","SAMOVAR, Paris-Saclay Univ., Evry, France; SAMOVAR, Paris-Saclay Univ., Evry, France; SAMOVAR, Paris-Saclay Univ., Evry, France","2016 IEEE 30th International Conference on Advanced Information Networking and Applications (AINA)","23 May 2016","2016","","","147","154","Despite recent emerging development in intrusion detection or network monitoring, malicious attacks and misbehavior remain a high-risk issue within network traffic. In this paper, we present a proactive solution called MMT (Montimage1 Monitoring Tool) that allows facilitating network security and performance monitoring and operation troubleshooting. We demonstrate the improvements of MMT in comparison with other similar tools. Especially, we assess MMT to deal with a practical case-study in which we analyze the User-Agent field in HTTP headers to determine abnormal activities. Indeed, novel observations figure out the usefulness of the User-Agent field in HTTP requests as a good source to facilitate abnormal activities detection within an abundant traffic. There are eventually several researches alarming the vulnerabilities of the User-Agent field and proposing some manual solution including a combination of tools. However, existing countermeasures are rather passive and do not allow real-time detection. In the context of our research, MMT provides an automated detection of malicious traffic abusing vulnerable User-Agent field. Analyzing abnormal User-Agent strings is also useful to rapidly detect existing evil objects in the network (e.g., bots). The experimental results confirm the improvements of our implementation in comparison with other intrusion detection system (SNORT) and packet analyzing tool (TCPdump).","1550-445X","978-1-5090-1858-1","10.1109/AINA.2016.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474082","Intrusion Detection;SQL Injection;Stored and Reflected XSS;Events extraction;Monitoring;Security Analysis;HTTP;MMT","Monitoring;Security;Metadata;Context;Protocols;Browsers;Real-time systems","hypermedia;monitoring;security of data;telecommunication traffic;user interfaces","network monitoring;MMT;HTTP headers;intrusion detection;malicious attacks;Montimage monitoring tool;network security;performance monitoring;abundant traffic;abnormal user-agent strings;SNORT;packet analyzing tool;TCPdump","","4","","19","","23 May 2016","","","IEEE","IEEE Conferences"
"Design of Intrusion Detection Honeypot Using Social Leopard Algorithm to Detect IoT Ransomware Attacks","S. Sibi Chakkaravarthy; D. Sangeetha; M. V. Cruz; V. Vaidehi; B. Raman","School of Computer Science and Engineering (SCOPE), VIT-AP University, Amaravati, India; Madras Institute of Technology, Anna University, Chennai, India; Madras Institute of Technology, Anna University, Chennai, India; Madras Institute of Technology, Anna University, Chennai, India; Indian Institute of Technology Roorkee, Roorkee, India","IEEE Access","22 Sep 2020","2020","8","","169944","169956","In recent times, ransomware has become the most significant cyber-attack targeting individuals, enterprises, healthcare industries, and the Internet of Things (IoT). Existing security systems like Intrusion Detection and Prevention System (IDPS) and Anti-virus (AV) as a single monitoring agent is complicated and time-consuming, thus fails in ransomware detection. A robust Intrusion Detection Honeypot (IDH) is proposed to address the issues mentioned above. IDH consists of i) Honeyfolder, ii) Audit Watch, and iii) Complex Event Processing (CEP). Honeyfolder is a decoy folder modeled using Social Leopard Algorithm (SoLA), especially for getting attacked and acting as an early warning system to alert the user during the suspicious file activities. AuditWatch is an Entropy module that verifies the entropy of the files and folders. CEP engine is used to aggregate data from different security systems to confirm the ransomware behavior, attack pattern, and promptly respond to them. The proposed IDH is experimentally tested in a secured testbed using more than 20 variants of recent ransomware of all types. The experimental result confirms that the proposed IDH significantly improves the ransomware detection time, rate, and accuracy compared with the existing state of the art ransomware detection model.","2169-3536","","10.1109/ACCESS.2020.3023764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9195445","Complex event processing;CEP;Honeypot;Honeyfolder;SoLA;intrusion detection Honeypot;ransomware","Ransomware;Intrusion detection;Computer hacking;Encryption","computer network security;entropy;Internet of Things;invasive software;software agents","Social Leopard Algorithm;significant cyber-attack targeting individuals;Prevention System;Anti-virus;single monitoring agent;robust Intrusion Detection Honeypot;IDH;Audit Watch;decoy folder;early warning system;suspicious file activities;AuditWatch;CEP engine;security systems;ransomware behavior;attack pattern;secured testbed;ransomware detection time;ransomware detection model;IoT ransomware attacks","","1","","25","CCBY","14 Sep 2020","","","IEEE","IEEE Journals"
"Collaborative Framework for Early Detection of RAT-Bots Attacks","A. A. Awad; S. G. Sayed; S. A. Salem","Department of Electronics, Communications, and Computer Engineering, Faculty of Engineering, Helwan University, Cairo, Egypt; Department of Electronics, Communications, and Computer Engineering, Faculty of Engineering, Helwan University, Cairo, Egypt; Department of Electronics, Communications, and Computer Engineering, Faculty of Engineering, Helwan University, Cairo, Egypt","IEEE Access","12 Jun 2019","2019","7","","71780","71790","Attackers tend to use Remote Access Trojans (RATs) to compromise and control a targeted computer, which makes the RAT detection as an active research field. This paper introduces a machine learning-based framework for detecting compromised hosts and networks that are infected by the RAT-Bots. The proposed framework consists of two agents that are integrated to achieve reliable early detection of the RAT-bots. The first agent, the host agent, is responsible for monitoring the system behavior of the running host and raising an alarm for any anomalies. The second agent, the network agent, monitors the network traffic to extract any malicious patterns. The integrated approach improves both the detection ratio and accuracy. However, each approach cannot separately achieve the same performance as the proposed RAT-Bots detection framework. The performance of the introduced framework is evaluated by using real-world benchmark datasets. The experimental results show that the proposed approach can achieve an accuracy of 98.83% with 1.45% false positive rate.","2169-3536","","10.1109/ACCESS.2019.2919680","Telecommunications Regulatory Authority; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725491","Bots;botnets;host-based detection;network-based detection;machine learning algorithms;rootkit behavior","Rats;Botnet;Monitoring;Collaboration;Detectors;Protocols;Servers","computer network security;invasive software;learning (artificial intelligence)","collaborative framework;RAT-Bots attacks;malicious patterns;remote access trojans;network traffic;network agent;running host;host agent;machine learning-based framework;RAT detection","","1","","41","OAPA","29 May 2019","","","IEEE","IEEE Journals"
"Virtual Machine Introspection for Anomaly-Based Keylogger Detection","H. Huseynov; K. Kourai; T. Saadawi; O. Igbe","City University of New York,Department of Electrical Engineering,City College,New York,United States; Kyushu Institute of Technology,Department of Computer Science and Networks,Fukuoka,Japan; City University of New York,Department of Electrical Engineering,City College,New York,United States; City University of New York,Department of Electrical Engineering,City College,New York,United States","2020 IEEE 21st International Conference on High Performance Switching and Routing (HPSR)","22 May 2020","2020","","","1","6","Software Keyloggers are dominant class of malicious applications that surreptitiously logs all the user activity to gather confidential information. Among many other types of keyloggers, API-based keyloggers can pretend as unprivileged program running in a user-space to eavesdrop and record all the keystrokes typed by the user. In a Linux environment, defending against these types of malware means defending the kernel against being compromised and it is still an open and difficult problem. Considering how recent trend of edge computing extends cloud computing and the Internet of Things (IoT) to the edge of the network, a new types of intrusion-detection system (IDS) has been used to mitigate cybersecurity threats in edge computing. Proposed work aims to provide secure environment by constantly checking virtual machines for the presence of keyloggers using cutting edge artificial immune system (AIS) based technology. The algorithms that exist in the field of AIS exploit the immune system's characteristics of learning and memory to solve diverse problems. We further present our approach by employing an architecture where host OS and a virtual machine (VM) layer actively collaborate to guarantee kernel integrity. This collaborative approach allows us to introspect VM by tracking events (interrupts, system calls, memory writes, network activities, etc.) and to detect anomalies by employing negative selection algorithm (NSA).","2325-5609","978-1-7281-4846-5","10.1109/HPSR48589.2020.9098980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9098980","Artificial Immune System;Edge Computing;Virtual Machine Introspection;Keylogger;Spyware;Invasive Software;Genetic Algorithm","Immune system;Linux;Keyboards;Artificial intelligence;Virtual machining;Detectors;Malware","application program interfaces;artificial immune systems;cloud computing;data privacy;Internet of Things;invasive software;Linux;operating system kernels;virtual machines","API-based keyloggers;user-space;Linux environment;open problem;edge computing;cloud computing;intrusion-detection system;cybersecurity threat mitigation;secure environment;virtual machine layer;kernel integrity;network activities;virtual machine introspection;anomaly-based keylogger detection;Software Keyloggers;confidential information;malware;user activity;Internet of Things;IoT;artificial immune system based technology;host OS;collaborative approach;negative selection algorithm","","","","15","","22 May 2020","","","IEEE","IEEE Conferences"
"Protecting Privacy and Security of Genomic Data in i2b2 with Homomorphic Encryption and Differential Privacy","J. L. Raisaro; G. Choi; S. Pradervand; R. Colsenet; N. Jacquemont; N. Rosat; V. Mooser; J. -P. Hubaux","School of Computer and Communication Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; School of Computer and Communication Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland; Service de Soutien à la Recherche Clinique, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland; Service de Soutien à la Recherche Clinique, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland; Service de Soutien à la Recherche Clinique, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland; Service de Soutien à la Recherche Clinique, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland; Service de Soutien à la Recherche Clinique, Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland; School of Computer and Communication Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland","IEEE/ACM Transactions on Computational Biology and Bioinformatics","8 Oct 2018","2018","15","5","1413","1426","Re-use of patients' health records can provide tremendous benefits for clinical research. Yet, when researchers need to access sensitive/identifying data, such as genomic data, in order to compile cohorts of well-characterized patients for specific studies, privacy and security concerns represent major obstacles that make such a procedure extremely difficult if not impossible. In this paper, we address the challenge of designing and deploying in a real operational setting an efficient privacy-preserving explorer for genetic cohorts. Our solution is built on top of the i2b2 (Informatics for Integrating Biology and the Bedside) framework and leverages cutting-edge privacy-enhancing technologies such as homomorphic encryption and differential privacy. Solutions involving homomorphic encryption are often believed to be costly and immature for use in operational environments. Here, we show that, for specific applications, homomorphic encryption is actually a very efficient enabler. Indeed, our solution outperforms prior work by enabling a researcher to securely compute simple statistics on more than 3,000 encrypted genetic variants simultaneously for a cohort of 5,000 individuals in less than 5 seconds with commodity hardware. To the best of our knowledge, our privacy-preserving solution is the first to also be successfully deployed and tested in a operation setting (Lausanne University Hospital).","1557-9964","","10.1109/TCBB.2018.2854782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409333","Genomic privacy;homomorphic encryption;differential privacy;i2b2","Genomics;Bioinformatics;Encryption","cryptography;data privacy;electronic health records;genetics;genomics;statistical analysis","homomorphic encryption;differential privacy;well-characterized patients;genetic cohorts;i2b2;privacy protection;privacy-preserving explorer;genomic data security;patient health record;statistical analysis","Computer Security;Electronic Health Records;Genetic Privacy;Genomics;Humans;Medical Informatics Computing","8","","52","IEEE","10 Jul 2018","","","IEEE","IEEE Journals"
"Classification of network anomalies in flow level network traffic using Bayesian networks","M. J. Vargas-Muñoz; R. Martínez-Peláez; P. Velarde-Alvarado; E. Moreno-García; D. L. Torres-Roman; J. J. Ceballos-Mejía","Telecommunications Specialty CINVESTAV Zapopan, México; School of Information Technology, Universidad De La Salle Bajío, León, México; Basic sciences and engineering area, UAN, Tepic, México; Postgraduate and research direction, Instituto Tecnológico de Tepic, Tepic, México; Telecommunications Specialty, CINVESTAV, Zapopan, México; Postgraduate and research direction, Instituto Tecnológico de Tepic, Tepic, México","2018 International Conference on Electronics, Communications and Computers (CONIELECOMP)","29 Mar 2018","2018","","","238","243","Network security is a topical issue today for everyone connected to Internet. However, malicious users try to obtain unauthorized access to network resources, affecting integrity, confidentiality, and availability. As a consequence, researchers, developers and network administrators have created many security mechanisms in order to enhance security. Among the security solutions that we can find in the market, Intrusion Detection Systems monitor inbound and outbound network activity, identifying suspicious traffic. IDS compare typical network activity with daily network activity, searching for anomalous traffic. If the IDS detects anomalous traffic, it sends an alert. In this work, we propose a Bayesian network classifier, which can detect normal or anomalous traffic. Through our Bayesian network model, it is possible to describe the cause-effect relationships that exist between the traffic features. Due to the high dimensionality of the data, and to the widespread use of the networks, we used a flow-level analysis, which saved a considerable computational load. We focus on network worms and brute force attacks, using the datasets of UNB ISCX IDS 2012 and UAN W32.Worms 2008. Results in terms of false positive and true positive rates show that the performance of the model has a high efficiency for classification of normal traffic and the set of selected attacks.","2474-9044","978-1-5386-2363-3","10.1109/CONIELECOMP.2018.8327205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8327205","Anomaly-based classifier;Argus;Bayesian networks;Intrusion detection systems;Network flows","Bayes methods;Telecommunication traffic;Intrusion detection;IP networks;Protocols;Internet","belief networks;Internet;invasive software;pattern classification;telecommunication security;telecommunication traffic","malicious users;unauthorized access;network resources;network administrators;security mechanisms;security solutions;outbound network activity;typical network activity;daily network activity;anomalous traffic;Bayesian network classifier;Bayesian network model;traffic features;flow-level analysis;network worms;UNB ISCX IDS 2012;normal traffic;flow level network traffic;Bayesian networks;network security;network anomalies classification;Internet;intrusion detection systems","","2","","17","","29 Mar 2018","","","IEEE","IEEE Conferences"
