"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Method for Detecting Unknown Malicious Executables","B. Rozenberg; E. Gudes; Y. Elovici; Y. Fledel","Dept. of Comput. Sci., Ben Gurion Univ., Beer-Sheva, Israel; Dept. of Comput. Sci., Ben Gurion Univ., Beer-Sheva, Israel; Dept. of Inf. Syst. Eng., Ben Gurion Univ., Beer-Sheva, Israel; Dept. of Inf. Syst. Eng., Ben Gurion Univ., Beer-Sheva, Israel","2011IEEE 10th International Conference on Trust, Security and Privacy in Computing and Communications","2 Jan 2012","2011","","","190","196","We present a method for detecting new malicious executables, which comprise the following steps: (a) in an offline training phase, finding a set of (not necessary consecutive) system call sequences that are characteristic only to malicious files, when such malicious files are executed, and storing said sequences in a database; (b) in a real time detection phase, for each running executable, continuously monitoring its issued system calls and comparing with the stored sequences of system calls within the database to determine whether there exists a match between a portion of the sequence of the run-time system calls and one or more of the database sequences, and when such a match is found, declaring said executable as malicious. We have evaluated our method and the preliminary results are promising and justify the use of system calls sequences for the purpose of detection of new malicious executables.","2324-9013","978-1-4577-2135-9","10.1109/TrustCom.2011.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6120819","web malware detection;system calls sequences","Malware;Databases;Genetic algorithms;Training;Monitoring;Real time systems;Accuracy","database management systems;invasive software;sequences","offline training phase;malicious files;real time detection phase;run-time system calls;database sequence storing;unknown malicious executable detection","","3","","20","","2 Jan 2012","","","IEEE","IEEE Conferences"
"Energy Depletion Attack in Low Power and Lossy Networks: Analysis and Defenses","C. Pu; B. Groves",Marshall University; Marshall University,"2019 2nd International Conference on Data Intelligence and Security (ICDIS)","3 Oct 2019","2019","","","14","21","With increasingly popular computing devices endowed with sensing and communicating capabilities, low power and lossy networks (LLNs) are rapidly emerging as an important part of ubiquitous computing and communication infrastructure. In order to support the vision of Internet-of-Things (IoT) and its applications, a novel routing protocol for low power and lossy networks, also referred to as RPL, has been proposed to provide efficient and reliable communication and enable the integration of resource-constrained devices into the Internet. However, due to the shared wireless medium, the lack of physical protection, and instinctive resource constraints, RPL-based LLNs are undeniably vulnerable to various Denial-of-Service (DoS) attacks. In this paper, we propose a misbehavior-aware detection scheme, called MAD, against energy depletion attack in RPL-based LLNs, where a malicious node intentionally generates and sends a large number of packets to legitimate node to excessively consume the energy resource of intermediate nodes located along the forwarding path, and finally makes the resource-constrained network suffer from denial of service. In the MAD, each node maintains a count of the number of received packets from its child node within a specific time window, and then compares the count with a dynamically calculated threshold to detect potential energy depletion attack. We conduct extensive simulation experiments for performance evaluation and comparison with the original RPL with and without adversary, respectively. The simulation results show that the proposed scheme is a viable approach against energy depletion attack in RPL-based LLNs.","","978-1-7281-2080-5","10.1109/ICDIS.2019.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855275","Energy Depletion Attack, Denial-of-Service, RPL, Low Power and Lossy Networks, Internet-of-Things","Routing;Routing protocols;Internet of Things;Wireless communication;Wireless sensor networks;Denial-of-service attack","computer network security;Internet of Things;routing protocols;telecommunication power management","energy resource;intermediate nodes;resource-constrained network;child node;potential energy depletion attack;RPL-based LLNs;lossy networks;ubiquitous computing;communication infrastructure;Internet-of-Things;resource-constrained devices;shared wireless medium;instinctive resource constraints;Denial-of-Service attacks;misbehavior-aware detection scheme;malicious node;legitimate node","","5","","43","","3 Oct 2019","","","IEEE","IEEE Conferences"
"A clustering-based approach to detect cyber attacks in process control systems","I. Kiss; B. Genge; P. Haller","“Petra Maior” University of Tirgu Mureş, Romania; “Petra Maior” University of Tirgu Mureş, Romania; “Petra Maior” University of Tirgu Mureş, Romania","2015 IEEE 13th International Conference on Industrial Informatics (INDIN)","1 Oct 2015","2015","","","142","148","Modern Process Control Systems (PCS) exhibit an increasing trend towards the pervasive adoption of commodity, off-the-shelf Information and Communication Technologies (ICT). This has brought significant economical and operational benefits, but it also shifted the architecture of PCS from a completely isolated environment to an open, “system of systems” integration with traditional ICT systems, susceptible to traditional computer attacks. In this paper we present a novel approach to detect cyber attacks targeting measurements sent to control hardware, i.e., typically to Programmable Logical Controllers (PLC). The approach builds on the Gaussian mixture model to cluster sensor measurement values and a cluster assessment technique known as silhouette. We experimentally demonstrate that in this particular problem the Gaussian mixture clustering outperforms the k-means clustering algorithm. The effectiveness of the proposed technique is tested in a scenario involving the simulated Tennessee-Eastman chemical process and three different cyber attacks.","2378-363X","978-1-4799-6649-3","10.1109/INDIN.2015.7281725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281725","","Clustering algorithms;Mathematical model;Gaussian mixture model;Computer crime;Engines;Process control","control engineering computing;Gaussian processes;mixture models;pattern clustering;process control;production engineering computing;programmable controllers;security of data","cyber attack detection;process control systems;PCS;Information and Communication Technologies;system of systems integration;ICT systems;computer attacks;programmable logical controllers;PLC;Gaussian mixture model;cluster sensor measurement values;cluster assessment technique;silhouette;simulated Tennessee-Eastman chemical process","","24","","23","","1 Oct 2015","","","IEEE","IEEE Conferences"
"Intrusion Detection Method Using Bi-Directional GPT for in-Vehicle Controller Area Networks","M. Nam; S. Park; D. S. Kim","Interdisciplinary Graduate Program in BIT Medical Convergence, Kangwon National University, Chuncheon, Republic of Korea; Department of Electrical and Electronics Engineering, Kangwon National University, Chuncheon, Republic of Korea; Autocrypt Company Ltd., Seoul, Republic of Korea","IEEE Access","14 Sep 2021","2021","9","","124931","124944","The controller area network (CAN) bus protocol is exposed to threats from various attacks because it is designed without consideration of security. In a normal vehicle operation situation, controllers connected to a CAN bus transmit periodic and nonperiodic signals. Thus, if a CAN identifier (ID) sequence is configured by collecting the identifiers of CAN signals in their order of occurrence, it will have a certain pattern. However, if only a very small number of attack IDs are included in a CAN ID sequence, it will be difficult to detect the corresponding pattern change. Thus, a detection method that is different from the conventional one is required to detect such attacks. Since a CAN ID sequence can be regarded as a sentence consisting of words in the form of CAN IDs, a generative pretrained transformer (GPT) model can learn the pattern of a normal CAN ID sequence. Therefore, such a model is expected to be able to detect CAN ID sequences that contain a very small number of attack IDs better than the existing long short-term memory (LSTM)-based method. In this paper, we propose an intrusion detection model that combines two GPT networks in a bi-directional manner to allow both past and future CAN IDs (relative to the time of detection) to be used. The proposed model is trained to minimize the negative log-likelihood (NLL) value of the bi-directional GPT network for a normal sequence. When the NLL value for a CAN ID sequence is larger than a prespecified threshold, it is deemed an intrusion. The proposed model outperforms a single uni-directional GPT model with the same degree of complexity as other existing LSTM-based models because the bi-directional structure of the proposed model maintains the estimation performance for most CAN IDs, regardless of their positions in the sequence.","2169-3536","","10.1109/ACCESS.2021.3110524","Autocrypt Company Ltd., Republic of Korea, the Ministry of Science and ICT (MSIT), Republic of Korea, through the Information Technology Research Center (ITRC) Support Program supervised by the Institute for Information and Communications Technology Promotion (IITP)(grant numbers:IITP-2021-2018-0-01433); Korea Institute of Planning and Evaluation for Technology in Food, Agriculture and Forestry (IPET) through the Smart Farm Innovation Technology Development Program; Ministry of Agriculture, Food and Rural Affairs (MAFRA)(grant numbers:421040-04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530394","Intrusion detection;generative pretrained transformer;GPT;controller area network;CAN;CAN ID;in-vehicle network;negative log-likelihood;NLL;spoofing attack","Protocols;Intrusion detection;Security;Performance evaluation;Bidirectional control;Object recognition;Licenses","computer network security;controller area networks;learning (artificial intelligence);on-board communications;pattern recognition;protocols;recurrent neural nets","generative pretrained transformer model;LSTM-based method;negative log-likelihood value;unidirectional GPT model;CAN ID sequence;bidirectional GPT network;intrusion detection model;long short-term memory-based method;CAN identifier sequence;nonperiodic signals;normal vehicle operation situation;controller area network bus protocol;in-vehicle controller area networks;intrusion detection method","","","","27","CCBY","6 Sep 2021","","","IEEE","IEEE Journals"
"Fast, Reliable, and Secure Drone Communication: A Comprehensive Survey","V. Hassija; V. Chamola; A. Agrawal; A. Goyal; N. C. Luong; D. Niyato; F. R. Yu; M. Guizani","Department of Computer Science and IT, Jaypee Institute of Information Technology, Noida, India; Department of Electrical and Electronics Engineering & APPCAIR, BITS-Pilani (Pilani Campus), Pilani, India; Department of Computer Science and IT, Jaypee Institute of Information Technology, Noida, India; Department of Computer Science and IT, Jaypee Institute of Information Technology, Noida, India; Faculty of Computer Science and the PHENIKAA Research and Technology Institute, PHENIKAA University, Hanoi, Vietnam; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Computer Science and Engineering Department, Qatar University, Doha, Qatar","IEEE Communications Surveys & Tutorials","19 Nov 2021","2021","23","4","2802","2832","Drone security is currently a major topic of discussion among researchers and industrialists. Although there are multiple applications of drones, if the security challenges are not anticipated and required architectural changes are not made, the upcoming drone applications will not be able to serve their actual purpose. Therefore, in this paper, we present a detailed review of the security-critical drone applications, and security-related challenges in drone communication such as DoS attacks, Man-in-the-middle attacks, De-Authentication attacks, and so on. Furthermore, as part of solution architectures, the use of Blockchain, Software Defined Networks (SDN), Machine Learning, and Fog/Edge computing are discussed as these are the most emerging technologies. Drones are highly resource-constrained devices and therefore it is not possible to deploy heavy security algorithms on board. Blockchain can be used to cryptographically store all the data that is sent to/from the drones, thereby saving it from tampering and eavesdropping. Various ML algorithms can be used to detect malicious drones in the network and to detect safe routes. Additionally, the SDN technology can be used to make the drone network reliable by allowing the controller to keep a close check on data traffic, and fog computing can be used to keep the computation capabilities closer to the drones without overloading them.","1553-877X","","10.1109/COMST.2021.3097916","SICI SICRG Grant through the Project Artificial Intelligence Enabled Security Provisioning and Vehicular Vision Innovations for Autonomous Vehicles; Government of Canada’s National Crime Prevention Strategy and Natural Sciences and Engineering Research Council of Canada (NSERC) CREATE Program for Building Trust in Connected and Autonomous Vehicles (TrustCAV); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488323","Blockchain;drone applications;drone security;fog computing;machine learning;software defined networks;UAV","Drones;Security;Privacy;Ad hoc networks;Tutorials;Encryption;Computer science","","","","","","164","IEEE","16 Jul 2021","","","IEEE","IEEE Journals"
"Design and implementation of an intrusion detection system using MLP-NN for MANET","I. Mapanga; V. Kumar; W. Makondo; T. Kushboo; P. Kadebu; W. Chanda","Harare Institute of Technology, P.O Box BE277 Belvedere, Harare, +263, Zimbabwe; Delhi Technological University, Shahbad Daulatpur, Bawana Road, Delhi-110042, India; Harare Institute of Technology, P.O Box BE277 Belvedere, Harare, +263, Zimbabwe; Amity University Gurgaon, Punchgaon, Gurgaon (Manesar) - 122 413, Haryana; Harare Institute of Technology, P.O Box BE277 Belvedere, Harare, +263, Zimbabwe; Harare Institute of Technology, P.O Box BE277 Belvedere, Harare, +263, Zimbabwe","2017 IST-Africa Week Conference (IST-Africa)","9 Nov 2017","2017","","","1","12","Communication in Mobile Ad hoc (MANETS) networks for end-to-end delivery of packets is achieved cooperatively. This model assumes that an intermediary node will always forward traffic originating from other nodes willingly, other than traffic emanating from the node itself. Conversely, in hostile environments where we find most applications of our ad hoc networks, an always cooperative and submissive behavior on behalf of the other nodes of the network cannot be presumed as the ultimate action undertaken by all the nodes. Our focus in this paper is on detecting the presence of malicious nodes that selectively or randomly drop packets intended for other destination nodes, we further classify each packet drop attack, according to its attack type by observing and analysing how each packet drop attack affect the network characteristics. Using a simulated MANET environment and MLP-NN modelling we can illustrate an Intrusion detection System that can successfully detect malicious packet dropping attacks with great accuracy.","","978-1-5386-3837-8","10.23919/ISTAFRICA.2017.8102374","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8102374","Intrusion Detection Systems;MANET;Multi-layer Perceptron;Artificial Intelligence;Network Security;Machine Learning","Mobile ad hoc networks;Training;Intrusion detection;Engines;Data models;Electronic mail","cooperative communication;mobile ad hoc networks;multilayer perceptrons;security of data;telecommunication computing;telecommunication security;telecommunication traffic","destination nodes;packet drop attack;network characteristics;MLP-NN modelling;intrusion detection system;malicious packet;end-to-end delivery;intermediary node;hostile environments;submissive behavior;mobile ad hoc network;MANET environment;malicious node detection;multilayer perceptron","","","","27","","9 Nov 2017","","","IEEE","IEEE Conferences"
"Tracking Network Events with Write Optimized Data Structures","N. P. Donoghue; B. Hahn; H. Xu; T. M. Kroeger; D. Zage; R. Johnson","Sandia Nat. Labs., Livermore, CA, USA; Sandia Nat. Labs., Livermore, CA, USA; Sandia Nat. Labs., Livermore, CA, USA; Sandia Nat. Labs., Livermore, CA, USA; Intel Corp., Santa Clara, CA, USA; Dept. of Comput. Sci., Stony Brook Univ., Stony Brook, NY, USA","2015 4th International Workshop on Building Analysis Datasets and Gathering Experience Returns for Security (BADGERS)","9 Jan 2017","2015","","","1","7","Access to network traffic records is an integral part of recognizing and addressing network security breaches. Even with the increasing sophistication of network attacks, basic network events such as connections between two IP addresses play an important role in any network defense. Given the duration of current attacks, long-term data archival is critical but typically very little of the data is ever accessed. Previous work has provided tools and identified the need to trace connections. However, traditional databases raise performance concerns as they are optimized for querying rather than ingestion. The study of write-optimized data structures (WODS) is a new and growing field that provides a novel approach to traditional storage structures (e.g., B-trees). WODS trade minor degradations in query performance for significant gains in the ability to quickly insert more data elements, typically on the order of 10 to 100 times more inserts per second. These efficient, out-of-memory data structures can play a critical role in enabling robust, long-term tracking of network events. In this paper, we present TWIAD, the Write-optimized IP Address Database. TWIAD uses a write-optimized B-tree known as a B"" tree to track all IP address connections in a network traffic stream. Our initial implementation focuses on utilizing lower cost hardware, demonstrating that basic long-term tracking can be done without advanced equipment. We tested TWIAD on a modest desktop system and showed a sustained ingestion rate of about 20,000 inserts per second.","","978-1-4673-8944-0","10.1109/BADGERS.2015.011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809528","","Vegetation;Data structures;Databases;IP networks;Hardware;Monitoring;Security","computer network performance evaluation;computer network security;database management systems;IP networks;query processing;telecommunication traffic;tree data structures","write optimized data structures;write-optimized IP address database;TWIAD design;network traffic records;network security breaches;network attacks;network defense;long-term data archival;database querying;WODS;storage structures;query performance degradations;long-term network event tracking;write-optimized B-tree","","1","","37","","9 Jan 2017","","","IEEE","IEEE Conferences"
"Improving Radioactive Material Localization by Leveraging Cyber-Security Model Optimizations","R. Sheatsley; M. Durbin; A. Lintereur; P. Mcdaniel","Department of Computer Science and Engineering, The Pennslyvania State University, State College, PA, USA; Department of Nuclear Engineering, The Pennslyvania State University, State College, PA, USA; Department of Nuclear Engineering, The Pennslyvania State University, State College, PA, USA; Department of Computer Science and Engineering, The Pennslyvania State University, State College, PA, USA","IEEE Sensors Journal","16 Mar 2021","2021","21","8","9994","10006","One of the principal uses of physical-space sensors in public safety applications is the detection of unsafe conditions (e.g., release of poisonous gases, weapons in airports, tainted food). However, current detection methods in these applications are often costly, slow to use, and can be inaccurate in complex, changing, or new environments. In this paper, we explore how machine learning methods used successfully in cyber domains, such as malware detection, can be leveraged to substantially enhance physical space detection. We focus on one important exemplar application-the detection and localization of radioactive materials. We show that the ML-based approaches can significantly exceed traditional table-based approaches in predicting angular direction. Moreover, the developed models can be expanded to include approximations of the distance to radioactive material (a critical dimension that reference tables used in practice do not capture). With four and eight detector arrays, we collect counts of gamma-rays as features for a suite of machine learning models to localize radioactive material. We explore seven unique scenarios via simulation frameworks frequently used for radiation detection and with physical experiments using radioactive material in laboratory environments. We observe that our approach can outperform the standard table-based method, reducing the angular error by 37% and reliably predicting distance within 2.4%. In this way, we show that advances in cyber-detection provide substantial opportunities for enhancing detection in public safety applications and beyond.","1558-1748","","10.1109/JSEN.2021.3055778","U.S. Army Combat Capabilities Development Command Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-13-2-0045 (ARL Cyber Security CRA); National Science Foundation(grant numbers:CNS-1805310); U.S. Army Research Laboratory; U.S. Army Research Office(grant numbers:W911NF-19-1-0374); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343331","Machine Learning;security;gamma-ray detectors","Radioactive materials;Machine learning;Detectors;Feature extraction;Sensors;Gamma-rays;Attenuation","invasive software;learning (artificial intelligence);radiation detection;risk analysis;weapons","radioactive material localization;cyber-security model optimizations;physical-space sensors;public safety applications;current detection methods;machine learning methods;cyber domains;malware detection;physical space detection;ML-based approaches;table-based approaches;machine learning models;radiation detection;physical experiments;standard table-based method;cyber-detection;exemplar application","","","","36","IEEE","1 Feb 2021","","","IEEE","IEEE Journals"
"Inside a phisher's mind: Understanding the anti-phishing ecosystem through phishing kit analysis","A. Oest; Y. Safei; A. Doupé; G. Ahn; B. Wardman; G. Warner","Arizona State University; Arizona State University; Arizona State University; Arizona State University; PayPal, Inc.; Cofense, Inc.","2018 APWG Symposium on Electronic Crime Research (eCrime)","11 Jun 2018","2018","","","1","12","Phishing attacks are becoming increasingly prevalent: 2016 saw more phishing attacks than any previous year on record according to the Anti-Phishing Working Group. At the same time, the growing level of sophistication of cybercriminals must be understood for the development of effective anti-phishing systems, as phishers have extensive control over the content they serve to their victims. By examining two large, real-world datasets of phishing kits and URLs from 2016 through mid-2017, we paint a clear picture of today's anti-phishing ecosystem while inferring the higher-level motives and thought processes of phishers. We analyze the nature of server-side .htaccess filtering techniques used by phishers to evade detection by the security community. We also propose a new generic classification scheme for phishing URLs which corresponds to modern social engineering techniques and reveals a correlation between URL type and compromised infrastructure use. Our analysis identifies measures that can be taken by the security community to defeat phishers' countermeasures and increase the likelihood of a timely response to phishing. We discover that phishers have a keen awareness of the infrastructure used against them, which illustrates the ever-evolving struggle between cybercriminals and security researchers and motivates future work to positively impact online security.","2159-1245","978-1-5386-4922-0","10.1109/ECRIME.2018.8376206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376206","","Phishing;Ecosystems;Organizations;Uniform resource locators;Electronic mail;Blacklisting","computer crime;unsolicited e-mail","phishers;phishing kits;anti-phishing ecosystem;security community;phishing URLs;compromised infrastructure use;phishing kit analysis;phishing attacks;Anti-Phishing Working Group;anti-phishing systems","","4","","40","","11 Jun 2018","","","IEEE","IEEE Conferences"
"A novel challenge & response scheme against selective forwarding attacks in MANETs","T. Chuachan; S. Puangpronpitag","Faculty of Informatics, Mahasarakham University, Thailand; Faculty of Informatics, Mahasarakham University, Thailand","2013 Fifth International Conference on Ubiquitous and Future Networks (ICUFN)","30 Sep 2013","2013","","","173","177","A selective forwarding attack is a notorious security problem in MANET environments. The attacking method can seriously cause a failure in MANET transmission. So, several previous schemes have proposed to solve the problem. However, all of the previous schemes still have some drawbacks. Hence, in this paper, we have designed a new challenge and response scheme to detect the selective forwarding attack. The prototype of our design has also been implemented on CORE emulator, and been experimented on. The experimental results have demonstrated that our new scheme can effectively identify the selective forwarding attacker.","2165-8536","978-1-4673-5990-0","10.1109/ICUFN.2013.6614806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6614806","MANET security;Selective forwarding attack;AODV;CORE emulator","Ad hoc networks;Mobile computing;Routing;Security;Routing protocols;Monitoring;Receivers","mobile ad hoc networks;telecommunication security","response scheme;selective forwarding attack;security problem;MANET transmission;mobile ad hoc networks;CORE emulator","","1","","25","","30 Sep 2013","","","IEEE","IEEE Conferences"
