"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Applications of Machine Learning in Networking: A Survey of Current Issues and Future Challenges","M. A. Ridwan; N. A. M. Radzi; F. Abdullah; Y. E. Jalil","Institute of Power Engineering, Universiti Tenaga Nasional, Kajang, Malaysia; Department of Electrical and Electronics Engineering, College of Engineering, Universiti Tenaga Nasional, Kajang, Malaysia; Department of Electrical and Electronics Engineering, College of Engineering, Universiti Tenaga Nasional, Kajang, Malaysia; Institute of Power Engineering, Universiti Tenaga Nasional, Kajang, Malaysia","IEEE Access","9 Apr 2021","2021","9","","52523","52556","Communication networks are expanding rapidly and becoming increasingly complex. As a consequence, the conventional rule-based algorithms or protocols may no longer perform at their best efficiencies in these networks. Machine learning (ML) has recently been applied to solve complex problems in many fields, including finance, health care, and business. ML algorithms can offer computational models that can solve complex communication network problems and consequently improve performance. This paper reviews the recent trends in the application of ML models in communication networks for prediction, intrusion detection, route and path assignment, Quality of Service improvement, and resource management. A review of the recent literature reveals extensive opportunities for researchers to exploit the advantages of ML in solving complex performance issues in a network, especially with the advancement of software-defined networks and 5G.","2169-3536","","10.1109/ACCESS.2021.3069210","Universiti Tenaga Nasional Internal(grant numbers:RJO10517844057); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388670","Machine learning algorithms;communication network;intrusion detection;routing;quality of service","Prediction algorithms;Deep learning;Machine learning algorithms;Routing;Quality of service;Wireless sensor networks;Data models","5G mobile communication;learning (artificial intelligence);quality of service;software defined networking;telecommunication computing;telecommunication networks","quality of service;health care;protocols;rule-based algorithms;machine learning;software-defined networks;communication networks;complex communication network problems;computational models;ML algorithms","","","","141","CCBY","29 Mar 2021","","","IEEE","IEEE Journals"
"Investigating Adversarial Attacks against Network Intrusion Detection Systems in SDNs","J. Aiken; S. Scott-Hayward","Queeny’s University Belfast, Belfast, BT3 9DT,Centre for Secure Information Technologies,N. Ireland; Queeny’s University Belfast, Belfast, BT3 9DT,Centre for Secure Information Technologies,N. Ireland","2019 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN)","19 Mar 2020","2019","","","1","7","Machine-learning based network intrusion detection systems (ML-NIDS) are increasingly popular in the fight against network attacks. In particular, promising detection results have been demonstrated in conjunction with Software-Defined Networks (SDN), in which the logically centralized control plane provides access to data from across the network. However, research into adversarial attacks against machine learning classifiers has highlighted vulnerabilities in a number of fields. These vulnerabilities raise concerns about the implementation of similar classifiers in anomaly-based NIDSs within SDNs. In this work, we investigate the viability of adversarial attacks against classifiers in this field. We implement an anomaly-based NIDS, Neptune, as a target platform that utilises a number of different machine learning classifiers and traffic flow features. We develop an adversarial test tool, Hydra, to evaluate the impact of adversarial evasion classifier attacks against Neptune with the goal of lowering the detection rate of malicious network traffic. The results demonstrate that with the perturbation of a few features, the detection accuracy of a specific SYN flood Distributed Denial of Service (DDoS) attack by Neptune decreases from 100% to 0% across a number of classifiers. Based on these results, recommendations are made as to how to increase the robustness of classifiers against the demonstrated attacks.","","978-1-7281-4545-7","10.1109/NFV-SDN47374.2019.9040101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040101","Network Security;Software-Defined Networks;Intrusion Detection Systems;Machine Learning;Adversarial Attacks.","Feature extraction;Machine learning;Computer crime;Network function virtualization;Support vector machines;Conferences","computer network security;learning (artificial intelligence);pattern classification;software defined networking;telecommunication traffic","SYN flood distributed denial of service attack;Hydra;machine learning classifiers;ML-NIDS;machine-learning based network intrusion detection systems;detection accuracy;malicious network traffic;detection rate;adversarial evasion classifier attacks;adversarial test tool;SDNs;anomaly-based NIDS;adversarial attacks;logically centralized control plane;Software-Defined Networks;network attacks","","6","","27","","19 Mar 2020","","","IEEE","IEEE Conferences"
"Comprehensive study on MANETs network layer attacks","G. Garg; S. Kaushal; A. Sharma","UIET, Panjab University, Chandigarh; UIET, Panjab University, Chandigarh; UIET, Panjab University, Chandigarh","2013 Fourth International Conference on Computing, Communications and Networking Technologies (ICCCNT)","30 Jan 2014","2013","","","1","8","A Mobile Ad hoc Network (MANET) is a collection of wireless mobile nodes that forms a temporary network in decentralized manner. Security has become a primary concern in order to provide protected communication between mobile nodes in a hostile environment of MANET which poses a number of nontrivial challenges to security design and these challenges clearly make a case of building multifence security solutions that achieve both broad protection and desirable network performance. This paper presents a review on the various network layer attacks, i.e. wormhole attack, blackhole attack and greyhole attack and existing ways to mitigate them.","","978-1-4799-3926-8","10.1109/ICCCNT.2013.6726853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6726853","Ad hoc;Wormhole;Blackhole;Greyhole","Routing protocols;Ad hoc networks;Routing;Mobile computing;Security;Delays","mobile ad hoc networks;telecommunication security","MANET;network layer attacks;mobile ad hoc network;wireless mobile nodes;security design;building multifence security solutions;broad protection;network performance;wormhole attack;blackhole attack;greyhole attack","","3","","50","","30 Jan 2014","","","IEEE","IEEE Conferences"
"Enhancing IoT Anomaly Detection Performance for Federated Learning","B. Weinger; J. Kim; A. Sim; M. Nakashima; N. Moustafa; K. J. Wu","Stony Brook University,Stony Brook,NY; Texas A&M University Commerce,TX; Lawrence Berkeley Nat’l Laboratory,Berkeley,CA; Texas A&M University Commerce,TX; University of New South Wales,Sydney,Australia; Lawrence Berkeley Nat’l Laboratory,Berkeley,CA","2020 16th International Conference on Mobility, Sensing and Networking (MSN)","7 Apr 2021","2020","","","206","213","While federated learning (FL) has gained great attention for mobile and Internet of Things (IoT) computing with the benefits of scalable cooperative learning and privacy protection capabilities, there still exist a great deal of technical challenges to make it practically deployable. For instance, the distribution of the training process to a myriad of devices limits the classification performance of machine learning (ML) algorithms, often showing a significantly degraded accuracy compared to centralized learning. In this paper, we investigate the problem of performance limitation under FL and present the benefit of data augmentation with an application of anomaly detection using an IoT dataset. Our initial study reveals that one of the critical reasons for the performance degradation is that each device sees only a small fraction of data (that it generates), which limits the efficacy of the local ML model (constructed by the device). This becomes more critical if the data holds the class imbalance problem, observed not infrequently in practice (e.g., a small fraction of anomalies). Moreover, device heterogeneity with respect to data quantity is an open challenge in FL. Based on these observations, we examine the impact of data augmentation on detection performance in FL settings (both homogeneous and heterogeneous). Our experimental results show that even a simple random oversampling can improve detection performance with manageable learning complexity.","","978-1-7281-9916-0","10.1109/MSN50589.2020.00045","Advanced Scientific Computing Research; Office of Science; U.S. Department of Energy; National Energy Research Scientific Computing Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394275","Federated Learning;Internet of Things;Anomaly Detection;Machine Learning","Performance evaluation;Training;Privacy;Collaborative work;Sensors;Internet of Things;Anomaly detection","data privacy;Internet of Things;learning (artificial intelligence);pattern classification;sampling methods","manageable learning complexity;FL settings;data quantity;device heterogeneity;class imbalance problem;local ML model;performance degradation;critical reasons;IoT dataset;data augmentation;performance limitation;centralized learning;degraded accuracy;machine learning algorithms;classification performance;training process;technical challenges;privacy protection capabilities;scalable cooperative learning;Things computing;mobile Internet;federated learning;IoT anomaly detection performance","","","","24","","7 Apr 2021","","","IEEE","IEEE Conferences"
"A real-time and ubiquitous network attack detection based on deep belief network and support vector machine","H. Zhang; Y. Li; Z. Lv; A. K. Sangaiah; T. Huang","National Engineering Laboratory for Educational Big Data, Central China Normal University, Wuhan 430072, China; Lanzhou Central Sub-branch of The People ʼ s Bank of China, Lanzhou 730000, China; School of Data Science and Software Engineering, Qingdao University, Qingdao 266071, China; School of Computing Science and Engineering, Vellore Institute of Technology University, Tamil Nadu 632014, India; National Engineering Laboratory for Educational Big Data, Central China Normal University, Wuhan 430072, China","IEEE/CAA Journal of Automatica Sinica","28 Apr 2020","2020","7","3","790","799","In recent years, network traffic data have become larger and more complex, leading to higher possibilities of network intrusion. Traditional intrusion detection methods face difficulty in processing high-speed network data and cannot detect currently unknown attacks. Therefore, this paper proposes a network attack detection method combining a flow calculation and deep learning. The method consists of two parts: a real-time detection algorithm based on flow calculations and frequent patterns and a classification algorithm based on the deep belief network and support vector machine (DBN-SVM). Sliding window (SW) stream data processing enables real-time detection, and the DBN-SVM algorithm can improve classification accuracy. Finally, to verify the proposed method, a system is implemented. Based on the CICIDS2017 open source data set, a series of comparative experiments are conducted. The method's real-time detection efficiency is higher than that of traditional machine learning algorithms. The attack classification accuracy is 0.7 percentage points higher than that of a DBN, which is 2 percentage points higher than that of the integrated algorithm boosting and bagging methods. Hence, it is suitable for the real-time detection of high-speed network intrusions.","2329-9274","","10.1109/JAS.2020.1003099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049446","","Real-time systems;Intrusion detection;Classification algorithms;Support vector machines;Clustering algorithms;Data mining;High-speed networks","belief networks;learning (artificial intelligence);pattern classification;real-time systems;security of data;support vector machines;ubiquitous computing","deep learning;real-time detection;deep belief network;support vector machine;DBN-SVM algorithm;CICIDS2017 open source data;attack classification;ubiquitous network attack detection;network intrusion detection;sliding window stream data processing;cyberattacks","","4","","","","27 Mar 2020","","","IEEE","IEEE Journals"
"How to steal a machine learning classifier with deep learning","Yi Shi; Y. Sagduyu; A. Grushin","Intelligent Automation, Inc., Rockville, MD 20855, USA; Intelligent Automation, Inc., Rockville, MD 20855, USA; Intelligent Automation, Inc., Rockville, MD 20855, USA","2017 IEEE International Symposium on Technologies for Homeland Security (HST)","8 Jun 2017","2017","","","1","5","This paper presents an exploratory machine learning attack based on deep learning to infer the functionality of an arbitrary classifier by polling it as a black box, and using returned labels to build a functionally equivalent machine. Typically, it is costly and time consuming to build a classifier, because this requires collecting training data (e.g., through crowdsourcing), selecting a suitable machine learning algorithm (through extensive tests and using domain-specific knowledge), and optimizing the underlying hyperparameters (applying a good understanding of the classifier's structure). In addition, all this information is typically proprietary and should be protected. With the proposed black-box attack approach, an adversary can use deep learning to reliably infer the necessary information by using labels previously obtained from the classifier under attack, and build a functionally equivalent machine learning classifier without knowing the type, structure or underlying parameters of the original classifier. Results for a text classification application demonstrate that deep learning can infer Naive Bayes and SVM classifiers with high accuracy and steal their functionalities. This new attack paradigm with deep learning introduces additional security challenges for online machine learning algorithms and raises the need for novel mitigation strategies to counteract the high fidelity inference capability of deep learning.","","978-1-5090-6356-7","10.1109/THS.2017.7943475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943475","Machine learning;adversarial machine learning;classifier;deep learning;exploratory attacks","Machine learning;Support vector machines;Training data;Neurons;Machine learning algorithms;Organizations;Security","inference mechanisms;learning (artificial intelligence);pattern classification;security of data;text analysis","machine learning classifier;deep learning;exploratory machine learning attack;functionally equivalent machine;training data;crowdsourcing;domain-specific knowledge;hyperparameter optimization;classifier structure;black-box attack approach;text classification application;Naive Bayes classifier;SVM classifier inference;security challenges;online machine learning algorithms;mitigation strategies;high fidelity inference capability","","27","2","19","","8 Jun 2017","","","IEEE","IEEE Conferences"
"Deep Learning Based Intrusion Detection System: Software Defined Network","J. Hussain; V. Hnamte","Mizoram University,Mathematics and Computer Science,Mizoram,India; Mizoram University,Mathematics and Computer Science,Mizoram,India","2021 Asian Conference on Innovation in Technology (ASIANCON)","4 Oct 2021","2021","","","1","6","Software-defined Networking (SDN) is the key catalyst in the next-generation network. Cloud computing has shown rapid growth due to the development of SDN. Due to the growth in security difficulties and threats, SDN networks will have new security issues to overcome, and a new layer of security procedures, such as intrusion detection systems (IDS), is required. Nowadays, web services are flexible, economical, and user-friendly. Although this may be true, they still seem to be more susceptible to security issues than legacy systems. Therefore, SDN architecture also incorporates several machine learning methods to find classify malicious attacks and legitimate traffic. We include a rigorous study of the current strategies for malicious traffic identification and we define the classical machine learning method's shortcomings, and a deep learning technique is also being investigated to reach higher levels of efficiency and accuracy. This article explores SDN security and IDS about security concerns. A dataset of IDS, publicly accessible, KDD-CUP99, and NSL-KDD Dataset are used to determine the possible behaviour of security flaws.","","978-1-7281-8402-9","10.1109/ASIANCON51346.2021.9544913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544913","Software Defined Networking;KDD-CUP99;NSL-KDD;Intrusion Detection Systems;Denial of Service (DoS);Deep Learning","Deep learning;Technological innovation;Web services;Software algorithms;Telecommunication traffic;Production;Feature extraction","","","","","","27","","4 Oct 2021","","","IEEE","IEEE Conferences"
"Positive And Unlabeled Learning Algorithms And Applications: A Survey","K. Jaskie; A. Spanias","Arizona State University,SenSIP Center, School of ECEE,USA; Arizona State University,SenSIP Center, School of ECEE,USA","2019 10th International Conference on Information, Intelligence, Systems and Applications (IISA)","14 Nov 2019","2019","","","1","8","This paper will address the Positive and Unlabeled learning problem (PU learning) and its importance in the growing field of semi-supervised learning. In most real-world classification applications, well labeled data is expensive or impossible to obtain. We can often label a small subset of data as belonging to the class of interest. It is frequently impractical to manually label all data we are not interested in. We are left with a small set of positive labeled items of interest and a large set of unknown and unlabeled data. Learning a model for this is the PU learning problem. In this paper, we explore several applications for PU learning including examples in biological/medical, business, security, and signal processing. We then survey the literature for new and existing solutions to the PU learning problem.","","978-1-7281-4959-2","10.1109/IISA.2019.8900698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8900698","PU learning;positive unlabeled learning;machine learning;artificial intelligence;classification","","learning (artificial intelligence);pattern classification","unlabeled data;PU learning problem;semisupervised learning;real-world classification applications;positive and unlabeled learning problem;positive and unlabeled learning algorithms","","11","","107","","14 Nov 2019","","","IEEE","IEEE Conferences"
"Static code analysis and detection of multiple malicious Java applets using SVM","S. Y. Salunkhe; T. M. Pattewar","Department of Computer Engineering, North Maharashtra University, SES's R. C. Patel Institute of Technology, Shirpur, India; Department of Computer Engineering, North Maharashtra University, SES's R. C. Patel Institute of Technology, Shirpur, India","2015 International Conference on Green Computing and Internet of Things (ICGCIoT)","14 Jan 2016","2015","","","1538","1542","An applet that performs an action against the will of the user who invoked it should be considered malicious. A malicious applet is applet that attacks the local system of a Web surfer. They can even seriously damage a Java user's machine. The problem of malicious Java applets, that is currently not well addressed by existing work. We have developed a tool for malicious Java applets, which we call Jarhead. The approach is based on static code analysis. The approach extracts features from Java applets, and uses machine learning technique called support vector machine(SVM) to produce a tool. This approach is able to detect both known and previously-unseen real-world malicious applets.","","978-1-4673-7910-6","10.1109/ICGCIoT.2015.7380711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7380711","Code obfuscation;Disassembly;Honeyclients;Malware;Malicious web content","Java;Malware;Feature extraction;Fingerprint recognition;Browsers;Web pages","Internet;invasive software;Java;learning (artificial intelligence);program diagnostics;support vector machines","multiple malicious Java applets;SVM;Web surfer;Java user machine;Jarhead;machine learning technique;support vector machine;static code analysis;static code detection","","1","","11","","14 Jan 2016","","","IEEE","IEEE Conferences"
"A GBDT-Paralleled Quadratic Ensemble Learning for Intrusion Detection System","J. Yang; Y. Sheng; J. Wang","National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, Beijing, China; National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, Beijing, China; National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, Beijing, China","IEEE Access","1 Oct 2020","2020","8","","175467","175482","The development of computer and network technology has provided convenience to our daily life, however, attack and intrusion in network emerge endlessly. Intrusion Detection System (IDS) has been developed to confront network attacks. As a result, the research of IDS is one of the most popular fields in recent years. This paper proposes a Gradient Boosting Decision Tree (GBDT)-paralleled quadratic ensemble learning method for intrusion detection system. We use GBDT to deal with the spatial part of traffic data and use Gated Recurrent Unit (GRU) model with special modification for network traffic to deal with temporal data. Then, in order to combine the spatial feature and temporal feature, we fuse GBDT model and GRU model to make a quadratic ensemble model as our final intrusion detection system. The experimental results based on CICIDS2017 dataset show that the advanced spatial-temporal intrusion detection system based on ensemble learning achieves better accuracy, recall, precision and F1 score than the state-of-the-art methods. The accuracies of detecting benign, port scan, Distributed Denial of Service (DDoS), infiltration and web attack traffic are up to 99.9%, 99.9%, 99.9%, 99.9%, and 99.9%, respectively. We also use our method in Information-Centric Networking (ICN) dataset and the results show our method achieves much better performance compared with existing methods.","2169-3536","","10.1109/ACCESS.2020.3026044","Chinese Academy of Sciences through the Strategic Priority Research Program(grant numbers:XDC02020400); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204675","Intrusion detection;deep learning;ensemble learning;model fusion","Computer crime;Intrusion detection;Feature extraction;Machine learning;IP networks","computer network security;decision trees;learning (artificial intelligence)","CICIDS2017 dataset;F1 score;Web attack traffic;information-centric networking dataset;GBDT-paralleled quadratic ensemble learning;infiltration;spatial-temporal intrusion detection system;network traffic;gated recurrent unit model;gradient boosting decision tree;network attacks","","","","71","CCBY","23 Sep 2020","","","IEEE","IEEE Journals"
"SETA++: Real-Time Scalable Encrypted Traffic Analytics in Multi-Gbps Networks","C. Kattadige; K. N. Choi; A. Wijesinghe; A. Nama; K. Thilakarathna; S. Seneviratne; G. Jourjon","School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Electronic and Telecommunication, University of Moratuwa, Moratuwa, Sri Lanka; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; Data61, CSIRO, Marsfield, NSW, Australia","IEEE Transactions on Network and Service Management","8 Sep 2021","2021","18","3","3244","3259","The security and privacy of the end-users are a few of the most important components of a communication network. Though end-to-end encryption (e.g., TLS/SSL) fulfils this requirement, it makes inspecting network traffic with legacy solutions such as Deep Packet Inspection difficult. Recent Machine Learning techniques have shown outstanding performance in encrypted traffic classification. Nevertheless, such approaches require efficient flow sampling at real enterprise-scale networks due to the sheer volume of transferred data. Through this paper, we propose a holistic architecture to extract flow information of encrypted data at multi Gbps line rate using sampling and sketching mechanisms, enabling network operators to estimate flow size distribution accurately and understand the behavior of VPN-obfuscated traffic. Using over 6000 video traffic traces, under three main evaluation scenarios based on trace duration and starting time point, we show that it is possible to achieve 99% accuracy for service provider classification and over 90% accuracy for content classification for a given service provider in the best case. We also deploy our solution at an operational enterprise-scale network leveraging kernel bypassing to demonstrate its capability to efficiently sample live traffic for analytics.","1932-4537","","10.1109/TNSM.2021.3085097","Defence Science & Technology Group and Data61/CSIRO, through the Next Generation Technologies Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444314","Encrypted traffic;flow sampling;flow sketching;network measurements;side-channel attacks","Streaming media;Cryptography;Real-time systems;Privacy;Encryption;Quality of experience;Estimation","cryptography;learning (artificial intelligence);pattern classification;sampling methods;telecommunication traffic;virtual private networks","flow information extraction;trace duration;VPN-obfuscated traffic behavior;sampling mechanisms;real enterprise-scale networks;operational enterprise-scale network;network traffic;SETA++;sample live traffic;content classification;service provider classification;starting time point;video traffic traces;flow size distribution estimation;network operators;sketching mechanisms;multiGbps line rate;encrypted data;holistic architecture;sheer volume;efficient flow sampling;encrypted traffic classification;machine learning techniques;deep packet inspection;legacy solutions;end-to-end encryption;communication network;multiGbps networks;real-time scalable encrypted traffic analytics","","","","48","IEEE","31 May 2021","","","IEEE","IEEE Journals"
