"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classification of Threat Level in Typing Activity Through Keystroke Dynamics","A. K. Belman; S. Sridhara; V. V. Phoha","Syracuse University,Dept. of Computer & Information Science & Engineering,Syracuse,NY,USA,13210; Syracuse University,Dept. of Computer & Information Science & Engineering,Syracuse,NY,USA,13210; Syracuse University,Dept. of Computer & Information Science & Engineering,Syracuse,NY,USA,13210","2020 International Conference on Artificial Intelligence and Signal Processing (AISP)","23 Apr 2020","2020","","","1","6","System intrusion is a major issue in today's data-driven world. Discovering adversarial activities before or as they happen, through any modality, makes a system more secure. A straight forward approach to determine threat level from typing data would be to analyze the text directly. However, natural language processing is hard to implement on complex real life data, therefore we explore how far keystroke dynamics can go in terms of classifying threat levels correctly. We show that keystroke dynamics (KD) on a desktop can be used to classify the type of activity, either benign or adversarial, that a text sample originates from. We show the inefficiencies of popular temporal features for this task. With our proposed set of 14 features we achieve high accuracies (93% to 97%) and low Type 1 and Type 2 errors (3% to 8%) in classifying text samples of different sizes. We further reduce our feature set to eight using correlation analysis with marginal trade-offs in accuracy and error rates. We collected data from 102 users for benign activities and 103 users for adversarial activities recording over 1.9 million keystroke events in total. Our experiments show that a user's typing behavior can reveal the nature of the typing activity, thereby providing vital cues of a system's threat level.","2640-5768","978-1-7281-4458-0","10.1109/AISP48273.2020.9073079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073079","Keystrokes;Threat-Level;Keystroke-Features;Typing;Context","Data collection;Task analysis;Feature extraction;Standards;Monitoring;Keyboards;Intrusion detection","biometrics (access control);correlation methods;feature extraction;natural language processing;neural nets;pattern classification;text analysis","feature set;error rates;benign activities;adversarial activities;typing activity;keystroke dynamics;system intrusion;data-driven world;straight forward approach;typing data;natural language processing;complex real life data;temporal features;text analysis;text samples classification;correlation analysis;users typing behavior;systems threat level classification","","","","22","","23 Apr 2020","","","IEEE","IEEE Conferences"
"Distributed Framework for Detecting PMU Data Manipulation Attacks With Deep Autoencoders","J. Wang; D. Shi; Y. Li; J. Chen; H. Ding; X. Duan","State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Advanced Electromagnetic Engineering and Technology, School of Electric and Electronic Engineering, Huazhong University of Science and Technology, Wuhan, China","IEEE Transactions on Smart Grid","19 Jun 2019","2019","10","4","4401","4410","Phasor measurement unit (PMU) data manipulation attacks (PDMAs) may blind the control centers to the real-time operating conditions of power systems. Detecting these attacks accurately is essential to ensure the normal operation of power system monitoring and control. Using long-term accumulated historical PMU measurements to train a machine learning model to detect PDMAs has shown promising results. In this paper, deepautoencoder-based anomaly measurers are deployed throughout the power system to build a distributed PDMA detection framework. The architecture of a deep autoencoder and its training process are introduced. How to convert the historical PMU measurements into data samples for learning is also elaborated upon. Once trained, an anomaly measurer can assess the PDMA existence possibility of the new PMU measurements. By integrating the results of different anomaly measurers, the proposed distributed PDMA detection framework can detect PDMAs in the whole power system. The effectiveness and detection performance of the framework are discussed through experiments.","1949-3061","","10.1109/TSG.2018.2859339","National Natural Science Foundation of China(grant numbers:51777081); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8418851","Cyber-physical security;deep autoencoder;distributed detection framework;PMU data manipulation attack","Phasor measurement units;Power systems;Training;Machine learning;Transmission line measurements;Feature extraction;State estimation","learning (artificial intelligence);neural nets;phasor measurement;power engineering computing;power system measurement;power system security;power system state estimation","power system monitoring;machine learning model;PDMAs;deepautoencoder-based anomaly measurers;distributed PDMA detection framework;deep autoencoder;data samples;anomaly measurer;detection performance;distributed framework;PMU data manipulation attacks;phasor measurement unit data manipulation attacks;historical PMU measurements","","18","","32","IEEE","24 Jul 2018","","","IEEE","IEEE Journals"
"Survey of Attack Projection, Prediction, and Forecasting in Cyber Security","M. Husák; J. Komárková; E. Bou-Harb; P. Čeleda","Institute of Computer Science, Masaryk University, Brno, Czech Republic; Institute of Computer Science, Masaryk University, Brno, Czech Republic; Cyber Threat Intelligence Laboratory, Florida Atlantic University, Boca Raton, FL, USA; Institute of Computer Science, Masaryk University, Brno, Czech Republic","IEEE Communications Surveys & Tutorials","22 Feb 2019","2019","21","1","640","660","This paper provides a survey of prediction, and forecasting methods used in cyber security. Four main tasks are discussed first, attack projection and intention recognition, in which there is a need to predict the next move or the intentions of the attacker, intrusion prediction, in which there is a need to predict upcoming cyber attacks, and network security situation forecasting, in which we project cybersecurity situation in the whole network. Methods and approaches for addressing these tasks often share the theoretical background and are often complementary. In this survey, both methods based on discrete models, such as attack graphs, Bayesian networks, and Markov models, and continuous models, such as time series and grey models, are surveyed, compared, and contrasted. We further discuss machine learning and data mining approaches, that have gained a lot of attention recently and appears promising for such a constantly changing environment, which is cyber security. The survey also focuses on the practical usability of the methods and problems related to their evaluation.","1553-877X","","10.1109/COMST.2018.2871866","ERDF “CyberSecurity, CyberCrime and Critical Information Infrastructures Center of Excellence”(grant numbers:CZ.02.1.01/0.0/0.0/16_019/0000822); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8470942","Cyber security;intrusion detection;situational awareness;prediction;forecasting;model checking","Task analysis;Forecasting;Cyberattack;Communication networks;Intrusion detection","computer network security;data mining;learning (artificial intelligence);security of data","cyber attacks;intrusion prediction;attacker;intention recognition;forecasting methods;attack projection;cyber security;data mining approaches;machine learning;grey models;time series;continuous models;Markov models;Bayesian networks;attack graphs;discrete models;network security situation forecasting","","21","","121","IEEE","23 Sep 2018","","","IEEE","IEEE Journals"
"Towards Anomaly Detectors that Learn Continuously","A. Stocco; P. Tonella","Software Institute - USI,Lugano,Switzerland; Software Institute - USI,Lugano,Switzerland","2020 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","4 Jan 2021","2020","","","201","208","In this paper, we first discuss the challenges of adapting an already trained DNN-based anomaly detector with knowledge mined during the execution of the main system. Then, we present a framework for the continual learning of anomaly detectors, which records in-field behavioural data to determine what data are appropriate for adaptation. We evaluated our framework to improve an anomaly detector taken from the literature, in the context of misbehavior prediction for self-driving cars. Our results show that our solution can reduce the false positive rate by a large margin and adapt to nominal behaviour changes while maintaining the original anomaly detection capability.","","978-1-7281-7735-9","10.1109/ISSREW51248.2020.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307667","AI Testing;Anomaly Detection;Autonomous Driving Systems;Continual Learning","Monitoring;Training;Anomaly detection;Detectors;Task analysis;Data models;Adaptation models","data mining;deep learning (artificial intelligence);security of data","continual learning;in-field behavioural data;anomaly detection;DNN-based anomaly detector;misbehavior prediction;self-driving cars;nominal behaviour changes;deep neural network","","","","33","","4 Jan 2021","","","IEEE","IEEE Conferences"
"Cyber Physical Security Analytics for Anomalies in Transmission Protection Systems","A. Ahmed; V. V. G. Krishnan; S. A. Foroutan; M. Touhiduzzaman; C. Rublein; A. Srivastava; Y. Wu; A. Hahn; S. Suresh","School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; Washington State University, Pullman, WA, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; Washington State University, Pullman, WA, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; Siemens Corporate Research, Princeton, NJ, USA","IEEE Transactions on Industry Applications","11 Nov 2019","2019","55","6","6313","6323","Protection systems are one of the most critical components in the transmission system and are becoming more digital with ongoing automation. These digital systems are prone to vulnerabilities/attacks, and exploitation of these vulnerabilities may cause major impacts on the electric grid performance. Multiple alarms reported in the control center could be a result of the faults (expected operations) or failures in the protection system (anomalies/ unexpected operation). Situational awareness gained through sensors such as a phasor measurement unit (PMU) and data acquired through the cyber system provide an opportunity to develop continuous cyber-physical monitoring of the system. Note that relay data are not reported in the control center continuously. This paper presents a cyber-physical data analytics based technique to monitor transmission protection system and detect malicious activity. Initially, continuous monitoring of PMU data is utilized for data anomaly detection, which includes bad or missing data using long short-term memory (LSTM). Then, PMU data of interest are utilized for failure diagnosis, using a semisupervised deep autoencoder model. In this research, cyber anomalies are modeled by manipulating the setting/logic design of protective devices, and a ridge regression based classifier with a feature engineering pipeline is used to detect cyber anomalies. The results from the deep autoencoder model and ridge regression based classifier are then utilized for detailed investigation to find the root causes of the observed events assisted by the cyber log data from the protection devices. The algorithm is validated using a real-time simulation of the IEEE test system with industrial hardware relays and PMUs in the loop. Data analytics algorithm running on server utilizes these real-time data continuously for anomaly detection and classification for the developed use cases.","1939-9367","","10.1109/TIA.2019.2928500","National Science Foundation(grant numbers:1840192); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8762160","Cyber anomalies;cyber-physical systems;cyber security;data analytics;digital protection;transmission protection systems","Phasor measurement units;Logic gates;Circuit faults;Relays;Data analysis;Anomaly detection;Power grids","computerised monitoring;data analysis;learning (artificial intelligence);phasor measurement;power engineering computing;power system measurement;power system security;regression analysis;security of data;smart power grids","bad data;missing data;PMU data;semisupervised deep autoencoder model;cyber anomalies;protective devices;cyber log data;protection devices;IEEE test system;data analytics algorithm;real-time data;classification;cyber physical security analytics;transmission protection system;transmission system;digital systems;control center;cyber system;continuous cyber-physical monitoring;relay data;cyber-physical data analytics;continuous monitoring;data anomaly detection","","15","","32","IEEE","15 Jul 2019","","","IEEE","IEEE Journals"
"Real-Time Nonparametric Anomaly Detection in High-Dimensional Settings","M. N. Kurt; Y. Yılmaz; X. Wang","Department of Electrical Engineering, Columbia University, New York, NY, USA; Department of Electrical Engineering, University of South Florida, Tampa, FL, USA; Department of Electrical Engineering, Columbia University, New York, NY, USA","IEEE Transactions on Pattern Analysis and Machine Intelligence","8 Jun 2021","2021","43","7","2463","2479","Timely detection of abrupt anomalies is crucial for real-time monitoring and security of modern systems producing high-dimensional data. With this goal, we propose effective and scalable algorithms. Proposed algorithms are nonparametric as both the nominal and anomalous multivariate data distributions are assumed unknown. We extract useful univariate summary statistics and perform anomaly detection in a single-dimensional space. We model anomalies as persistent outliers and propose to detect them via a cumulative sum-like algorithm. In case the observed data have a low intrinsic dimensionality, we find a submanifold in which the nominal data are embedded and evaluate whether the sequentially acquired data persistently deviate from the nominal submanifold. Further, in the general case, we determine an acceptance region for nominal data via Geometric Entropy Minimization and evaluate whether the sequentially observed data persistently fall outside the acceptance region. We provide an asymptotic lower bound and an asymptotic approximation for the average false alarm period of the proposed algorithm. Moreover, we provide a sufficient condition to asymptotically guarantee that the decision statistic of the proposed algorithm does not diverge in the absence of anomalies. Experiments illustrate the effectiveness of the proposed schemes in quick and accurate anomaly detection in high-dimensional settings.","1939-3539","","10.1109/TPAMI.2020.2970410","National Science Foundation(grant numbers:ECCS-1405327,CNS-1737598); Office of Naval Research(grant numbers:N000141712827); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976215","High-dimensional data;summary statistic;geometric entropy minimization (GEM);principal component analysis (PCA);real-time anomaly detection;nonparametric;cumulative sum (CUSUM)","Anomaly detection;Real-time systems;Data models;Approximation algorithms;Reliability;Probability density function;Entropy","computational complexity;data analysis;entropy;expectation-maximisation algorithm;graph theory;nonparametric statistics;security of data;statistical analysis;statistical distributions","sequentially acquired data;nominal submanifold;acceptance region;quick anomaly detection;accurate anomaly detection;high-dimensional settings;time nonparametric anomaly detection;abrupt anomalies;real-time monitoring;security;modern systems;high-dimensional data;nominal data distributions;anomalous multivariate data distributions;useful univariate summary statistics;single-dimensional space;model anomalies;persistent outliers;cumulative sum-like;low intrinsic dimensionality","","2","","50","IEEE","30 Jan 2020","","","IEEE","IEEE Journals"
"Bayesian-Inference-Based Sliding Window Trust Model Against Probabilistic SSDF Attack in Cognitive Radio Networks","Y. Fu; Z. He","School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China","IEEE Systems Journal","3 Jun 2020","2020","14","2","1764","1775","Collaborative spectrum sensing as a promising approach is widely investigated for identifying available spectrum in cognitive radio networks. However, such cooperation is vulnerable to be threatened by spectrum sensing data falsification (SSDF) attacks. Many previous attacker detection schemes rely on some strong assumptions, such as prior knowledge of the local performance of each secondary user (SU) and higher attack probability. To overcome these drawbacks, in this article, we develop a Bayesian-inference-based sliding window trust model to identify and weed out independent and collaborative probabilistic SSDF attackers without any prior knowledge of the attack behaviors. Based on this model, the trust value of each SU is obtained by combining the weighted intermediate sensing information from multiple small sliding windows. A sigmoid-log-function-based scheme is introduced to mitigate trust value fluctuations caused by different attacking probabilities. Finally, extensive simulation results show that compared with existing schemes, the proposed approach can identify probabilistic SSDF attackers effectively and isolate them with a higher detection rate across a wide range of attacking scenarios.","1937-9234","","10.1109/JSYST.2019.2936263","Sichuan Province Science and Technology Program Research Project(grant numbers:2019YJ0174); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822487","Bayesian inference;collaborative spectrum sensing;probabilistic spectrum sensing data falsification (SSDF) attack;trust evaluation and computation","Cooperative communication;Radio networks;Radio spectrum management;Bayes methods;Cognitive radio;Signal detection","cognitive radio;cooperative communication;probability;radio networks;radio spectrum management;signal detection;telecommunication security","independent SSDF attackers;higher attack probability;previous attacker detection schemes;spectrum sensing data falsification attacks;collaborative spectrum sensing;cognitive radio networks;probabilistic SSDF attack;window trust model;Bayesian-inference-based;attacking scenarios;different attacking probabilities;trust value fluctuations;sigmoid-log-function-based scheme;multiple small sliding windows;weighted intermediate sensing information;SU;attack behaviors;collaborative probabilistic SSDF attackers","","","","52","IEEE","2 Sep 2019","","","IEEE","IEEE Journals"
"On High-Speed Flow-based Intrusion Detection using Snort-compatible Signatures","F. Erlacher; F. Dressler","Heinz Nixdorf Institute and Department of Computer Science, Paderborn University, Germany (e-mail: erlacher@ccs-labs.org); Heinz Nixdorf Institute and Department of Computer Science, Paderborn University, Germany (e-mail: dressler@ccs-labs.org)","IEEE Transactions on Dependable and Secure Computing","","2020","PP","99","1","1","Signature-based Network Intrusion Detection Systems (NIDS) have become state-of-the-art in modern network security solutions. However, most systems are not designed for modern high-speed network links. In the field of network monitoring, an alternative solution has become the choice for such high-speed networks. Flow-monitoring, typically based on the Internet Protocol Flow Information Export (IPFIX) standard, now goes well beyond collecting statistical information about network connections. Current solutions are even able to include selected parts of the payload in these Flows to be used in conjunction with NIDS. Recently, we extended this concept to application layer HTTP Flows. We now present our improved version of the IPFIX-based Signature-based Intrusion Detection System (FIXIDS). FIXIDS makes use of HTTP intrusion detection signatures from the popular Snort system and applies them to incoming IPFIX-conforming HTTP Flows. Our evaluation shows that FIXIDS can deal with four times higher network data rates without drops compared to Snort, while maintaining the same event detection rate. Furthermore, a substantial part of the data traffic can be outsourced to FIXIDS so that Snort can be relieved of a significant portion of rules and traffic. This increases both the detection rate and the data rate the overall security appliance can handle.","1941-0018","","10.1109/TDSC.2020.2973992","Deutsche Forschungsgemeinschaft(grant numbers:DR 639/20-1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999496","Network security;intrusion detection;flow monitoring;high-speed networks","Intrusion detection;Pattern matching;Internet;Payloads;Protocols;Hardware;Throughput","","","","2","","","IEEE","14 Feb 2020","","","IEEE","IEEE Early Access Articles"
"Bringing a GAN to a Knife-Fight: Adapting Malware Communication to Avoid Detection","M. Rigaki; S. Garcia","Fac. of Electr. Eng., Czech Tech. Univ. in Prague, Prague, Czech Republic; Fac. of Electr. Eng., Czech Tech. Univ. in Prague, Prague, Czech Republic","2018 IEEE Security and Privacy Workshops (SPW)","6 Aug 2018","2018","","","70","75","Generative Adversarial Networks (GANs) have been successfully used in a large number of domains. This paper proposes the use of GANs for generating network traffic in order to mimic other types of traffic. In particular, our method modifies the network behavior of a real malware in order to mimic the traffic of a legitimate application, and therefore avoid detection. By modifying the source code of a malware to receive parameters from a GAN, it was possible to adapt the behavior of its Command and Control (C2) channel to mimic the behavior of Facebook chat network traffic. In this way, it was possible to avoid the detection of new-generation Intrusion Prevention Systems that use machine learning and behavioral characteristics. A real-life scenario was successfully implemented using the Stratosphere behavioral IPS in a router, while the malware and the GAN were deployed in the local network of our laboratory, and the C2 server was deployed in the cloud. Results show that a GAN can successfully modify the traffic of a malware to make it undetectable. The modified malware also tested if it was being blocked and used this information as a feedback to the GAN. This work envisions the possibility of self-adapting malware and self-adapting IPS.","","978-1-5386-8276-0","10.1109/SPW.2018.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424635","GAN;malware;intrusion detection;intrusion prevention;network behavior;network traffic obfuscation","Malware;Gallium nitride;Generators;IP networks;Servers;Facebook;Generative adversarial networks","computer network security;invasive software;security of data;social networking (online);telecommunication channels;telecommunication network routing;telecommunication traffic","Generative Adversarial Networks;malware communication;self-adapting malware;Stratosphere behavioral IPS;new-generation Intrusion Prevention Systems;Facebook chat network traffic;GAN","","10","","23","","6 Aug 2018","","","IEEE","IEEE Conferences"
"Approaches for Preventing Honeypot Detection and Compromise","M. Tsikerdekis; S. Zeadally; A. Schlesener; N. Sklavos","Computer Science Department, Western Washington University, Bellingham, WA, USA; College of Communication and Information University of Kentucky, Lexington, KY, USA; Computer Science Department, Western Washington University, Bellingham, WA, USA; Computer Engineering Informatics Department, University of Patras, Patra, Greece","2018 Global Information Infrastructure and Networking Symposium (GIIS)","7 Feb 2019","2018","","","1","6","Honeypots have been used extensively for over two decades. However, their development is rarely accompanied with an understanding of how attackers are able to detect them. Further, our understanding of effective evasion strategies that prevent the detection of honeypots is limited. We present a classification of honeypot characteristics as well as honeypot detection evasion strategies which minimize the detection rates of honeypots. We also provide recommendations for future honeypot software which is more adaptable, modular and incorporate a dynamic intelligence design.","2150-329X","978-1-5386-7272-3","10.1109/GIIS.2018.8635603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8635603","Detection;honeypot;protocol;security","Botnet;Monitoring;Delays;Organizations;Production;Authentication","security of data","honeypot characteristics;honeypot detection evasion strategies;honeypot detection prevention;honeypot software;dynamic intelligence design","","3","","28","","7 Feb 2019","","","IEEE","IEEE Conferences"
