"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Decision-theoretic approach to designing cyber resilient systems","V. Mehta; P. D. Rowe; G. Lewis; A. Magalhaes; M. Kochenderfer","MITRE Corporation, United States; MITRE Corporation, United States; Stanford University, United States; Stanford University, United States; Stanford University, United States","2016 IEEE 15th International Symposium on Network Computing and Applications (NCA)","12 Dec 2016","2016","","","302","309","The increasing number of persistent attacks on computing systems has inspired considerable research in cyber resilience solutions. Resilient system designers seek objective approaches to aid in the comparison and selection of effective solutions. Decision theoretic techniques such as Markov decision processes can be leveraged for such comparisons and design decisions. Markov decision processes facilitate examination of uncertainty in system dynamics, diversity of responses, and optimization for operational objectives. This paper proposes a system design approach based in decision theory to achieve effective cyber resilience solutions. The prototypical example of a system with network intrusion detection and host reconstitution is used to illustrate this approach and highlight difficulties designers face due to the non-trivial coupling that may arise between response mechanisms.","","978-1-5090-3216-7","10.1109/NCA.2016.7778634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778634","","Resilience;System analysis and design;Decision theory;Markov processes;Intrusion detection;Mathematical model","decision theory;Markov processes;optimisation;security of data","decision-theoretic approach;cyber resilient systems;persistent attacks;computing systems;cyber resilience solutions;Markov decision processes;system dynamics;optimization;system design;network intrusion detection","","1","","13","","12 Dec 2016","","","IEEE","IEEE Conferences"
"Smart Grid DNP3 Vulnerability Analysis and Experimentation","I. Darwish; O. Igbe; O. Celebi; T. Saadawi; J. Soryal",NA; NA; NA; NA; NA,"2015 IEEE 2nd International Conference on Cyber Security and Cloud Computing","7 Jan 2016","2015","","","141","147","This paper highlights different security threats and vulnerabilities that is being challenged in smart-grid utilizing Distributed Network Protocol (DNP3) as a real time communication protocol. Experimentally, we will demonstrate two scenarios of attacks, unsolicited message attack and data set injection. The experiments were run on a computer virtual environment and then simulated in DETER testbed platform. The use of intrusion detection system will be necessary to identify attackers targeting different part of the smart grid infrastructure. Therefore, mitigation techniques will be used to ensure a healthy check of the network and we will propose the use of host-based intrusion detection agent at each Intelligent Electronic Device (IED) for the purpose of detecting the intrusion and mitigating it. Performing attacks, attack detection, prevention and counter measures will be our primary goal to achieve in this research paper.","","978-1-4673-9300-3","10.1109/CSCloud.2015.86","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371473","Smart-Grid;SCADA;DNP3;IED;Malicious Attacks and DETER","Protocols;Smart grids;Authentication;Computers;TCPIP;Standards","distribution networks;power system security;protocols;safety systems;smart power grids","vulnerability analysis;security threats;distributed network protocol;DNP3;real time communication protocol;unsolicited message attack;data set injection;intrusion detection system;smart grid infrastructure;host-based intrusion detection agent;intelligent electronic device","","11","","25","","7 Jan 2016","","","IEEE","IEEE Conferences"
"Wamber: Defending Web Sites on Hosting Services with Self-Learning Honeypots","S. Saito; S. Torii; K. Yoshioka; T. Matsumoto","Yokohama Nat. Univ., Yokohama, Japan; Fujitsu Labs. Ltd., Kawasaki, Japan; Yokohama Nat. Univ., Yokohama, Japan; Yokohama Nat. Univ., Yokohama, Japan","2016 11th Asia Joint Conference on Information Security (AsiaJCIS)","15 Dec 2016","2016","","","60","66","Web sites have been great diversity because of their purposes and structures today and many web sites are working on hosting services. A hosting service is one of the network services for outsourcing construction and maintenance of the servers. Thus, the web site operators are free from hardware setting and server maintenance. On the other hand, web sites have been exposed to cyber attacks. To counter those web site attacks, hosting service providers should monitor their web sites. However, in many cases, it is difficult for the service providers to analyze such attacks with full information because of contracts about a protection of personal information. As another approach, it is effective to construct server side honeypots and observe malicious access to them. Unfortunately, honeypots could not always observe all type of attacks because of the diversity of web sites. In this paper, we propose a novel approach for keeping up security intelligence and strengthening countermeasures against web attacks on a hosting service. Our approach helps the service providers to protect their customers web sites by combining the analysis of IDS logs and web access logs provided from these sites and dedicated honeypots for observing web attacks. The honeypots keep learning interactions from the actual hosted sites, and attract attackers by mimicking the sites to gain the intelligence on malicious web attacks. We also describe the case study in a hosting service on our university, in which suspicious requests are confirmed to be malicious by our approach.","","978-1-5090-2285-4","10.1109/AsiaJCIS.2016.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7782059","Hoenypot;Log Analysis;Web attack;Monitoring Network","Web sites;Security;Monitoring;Web servers;Maintenance engineering;IP networks","invasive software;learning (artificial intelligence);Web sites","Wamber;Web site defense;hosting services;self-learning honeypots;server construction;server maintenance;Web site cyber attacks;personal information protection;malicious access;security intelligence;service providers;IDS log analysis;Web access logs;interactions learning","","1","","29","","15 Dec 2016","","","IEEE","IEEE Conferences"
"A combined discriminative and generative behavior model for cyber physical system defense","O. McCusker; S. Brunza; M. Carvalho; D. Dasgupta; S. Vora","Guardian Services, Sonalysts, Inc, Waterford, CT, USA; Guardian Services, Sonalysts, Inc, Waterford, CT, USA; Florida Institute of Technology, Melborne, FL, USA; Computer Science, University of Memphis, Memphis, TN, USA; Pulmonary Physician, Backus Hospital Norwich, CT, USA","2013 6th International Symposium on Resilient Control Systems (ISRCS)","10 Oct 2013","2013","","","144","149","In this position paper we explore the use of behavior models as an enabling methodology in the promotion of a more holistic understanding of CPS that can bridge both cyber and physical domains. Thus, we investigate the use of aggregate behavior analysis techniques combined in both cyber and physical domains. Ultimately, our work focuses on the development of a cyber-physical behavior model that leverages behavior aggregation promoting the creation of a long-view sense-making capability driven by both cyber and physical observations. We look to the use of this approach to establish the ability to anticipate malicious activity in CPS, rather that react.","","978-1-4799-0503-4","10.1109/ISRCS.2013.6623767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6623767","Behavior model;aggregate behaviors;behavior graphs;cyber physical;healthcare;patient safety;machine learning","Medical services;Computational modeling;Aggregates;Prognostics and health management;Context modeling;Data models;Safety","health care;security of data;ubiquitous computing","pervasive healthcare monitoring systems;malicious activity;cyber observations;physical observations;long-view sense-making capability;cyber-physical behavior model;aggregate behavior analysis techniques;CPS;cyber physical system defense;generative behavior model","","","","20","","10 Oct 2013","","","IEEE","IEEE Conferences"
"Securing Data With Blockchain and AI","K. Wang; J. Dong; Y. Wang; H. Yin","Research Institute of Information Technology, Tsinghua University, Beijing, China; Research Institute of Information Technology, Tsinghua University, Beijing, China; School of Computer Science and Technology, Wuhan University of Technology, Wuhan, China; Research Institute of Information Technology, Tsinghua University, Beijing, China","IEEE Access","24 Jun 2019","2019","7","","77981","77989","Data is the input for various artificial intelligence (AI) algorithms to mine valuable features, yet data in Internet is scattered everywhere and controlled by different stakeholders who cannot believe in each other, and usage of the data in complex cyberspace is difficult to authorize or to validate. As a result, it is very difficult to enable data sharing in cyberspace for the real big data, as well as a real powerful AI. In this paper, we propose the SecNet, an architecture that can enable secure data storing, computing, and sharing in the large-scale Internet environment, aiming at a more secure cyberspace with real big data and thus enhanced AI with plenty of data source, by integrating three key components: 1) blockchain-based data sharing with ownership guarantee, which enables trusted data sharing in the large-scale environment to form real big data; 2) AI-based secure computing platform to produce more intelligent security rules, which helps to construct a more trusted cyberspace; 3) trusted value-exchange mechanism for purchasing security service, providing a way for participants to gain economic rewards when giving out their data or service, which promotes the data sharing and thus achieves better performance of AI. Moreover, we discuss the typical use scenario of SecNet as well as its potentially alternative way to deploy, as well as analyze its effectiveness from the aspect of network security and economic revenue.","2169-3536","","10.1109/ACCESS.2019.2921555","China Postdoctoral Science Foundation(grant numbers:2017M620786); Natural Science Foundation of Shandong Province(grant numbers:ZR2017BF018); National Natural Science Foundation of China(grant numbers:61702439); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8733072","Data security;data systems;artificial intelligence;cyberspace","Artificial intelligence;Data security;Blockchain;Big Data;Internet;Cyberspace","artificial intelligence;cryptography;Internet;telecommunication security","artificial intelligence algorithms;data sharing;big data;large-scale Internet environment;secure cyberspace;data source;intelligent security rules;trusted cyberspace;security service;securing data;trusted value-exchange mechanism;blockchain-based data sharing;trusted data sharing;AI-based secure computing platform","","3","","28","OAPA","10 Jun 2019","","","IEEE","IEEE Journals"
"Security of Emergent Automotive Systems: A Tutorial Introduction and Perspectives on Practice","A. Lopez; A. V. Malawade; M. A. Al Faruque; S. Boddupalli; S. Ray","University of California at Irvine, Irvine, CA, USA; University of California at Irvine; University of California at Irvine; University of Florida at Gainesville; University of Florida at Gainesville","IEEE Design & Test","1 Nov 2019","2019","36","6","10","38","Editor's note: Emerging automotive systems are governed by various complicated hardware and software systems. Hence, security is an important issue in highly interconnected automotive systems. This article presents a survey of current automotive security research. -Partha Pratim Pande, Washington State University.","2168-2364","","10.1109/MDAT.2019.2944086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8851175","autonomous vehicles;connected cars;cybersecurity;security validation","Automotive engineering;Security;Complexity theory;Software engineering;Computer hacking","automotive electronics;data analysis;security of data","emergent automotive systems;editor;complicated hardware;software systems;highly interconnected automotive systems;current automotive security research","","5","","180","IEEE","27 Sep 2019","","","IEEE","IEEE Magazines"
"Neural Networks-Aided Insider Attack Detection for the Average Consensus Algorithm","G. Li; S. X. Wu; S. Zhang; Q. Li","College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; Peng Cheng Laboratory, Shenzhen, China","IEEE Access","20 Mar 2020","2020","8","","51871","51883","To support the big-data processing needs of large-scale deployments of smart devices, there is significant interest in moving from cloud-computing to multi-agent (fog-computing) models, given these algorithms scalability and self-healing properties with respect to nodes and link failures. However, these algorithms are often based on the average consensus primitive, which is, unfortunately, vulnerable to data injection attacks. Recognizing this challenge, this work proposes three novel methods for detecting and localizing adversarial nodes using neural network (NN) models. The methods proposed are based on fully distributed algorithms, wherein each node locally updates its local states by exchanging information with its neighbors without supervision. Compared to the state-of-the-art, the proposed approach leverages the automatic learning characteristics of NN to reduce the dependence on pre-designed models and human expertise in complex internal attack scenarios. Simulation results show that the NN-based methods can significantly improve the attacker detection and localization performance.","2169-3536","","10.1109/ACCESS.2020.2978458","National Natural Science Foundation of China(grant numbers:61701315); Shenzhen Technology Research and Development Fund(grant numbers:JCYJ20170817101149906); Shenzhen University(grant numbers:2018018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024060","Gossip algorithm;average consensus;neural network (NN);insider attack;detection and localization","Artificial neural networks;Peer-to-peer computing;Protocols;Cloud computing;Intrusion detection;Simulation","Big Data;cloud computing;computer network security;distributed algorithms;learning (artificial intelligence);multi-agent systems;neural nets","automatic learning characteristics;Big-Data processing needs;cloud-computing;average consensus algorithm;neural networks-aided insider attack detection;NN-based methods;complex internal attack scenarios;fully distributed algorithms;adversarial nodes;data injection attacks;average consensus primitive;link failures;self-healing properties;fog-computing;multiagent models","","2","","42","CCBY","4 Mar 2020","","","IEEE","IEEE Journals"
"On-Off Adversarially Robust Q-Learning","P. P. Sahoo; K. G. Vamvoudakis","Woodruff School for Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Daniel H. Guggenheim School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, GA, USA","IEEE Control Systems Letters","22 May 2020","2020","4","3","749","754","This letter, presents an “on-off” learning-based scheme to expand the attacker's surface, namely a moving target defense (MTD) framework, while optimally stabilizing an unknown system. We leverage Q-learning to learn optimal strategies with “on-off” actuation to promote unpredictability of the learned behavior against physically plausible attacks. We provide rigorous, theoretical guarantees on the stability of the equilibrium point even when switching. Finally, we develop two adversarial threat models to evaluate the learning agent's ability to generate robust policies based on a distance to uncontrollability.","2475-1456","","10.1109/LCSYS.2020.2979572","NSF(grant numbers:S&AS-1849264,CPS-1851588); ONR Minverva(grant numbers:N00014-18-1-2874); ARO(grant numbers:W911NF-19-1-0270); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9031718","Adversarial Q-learning;cyber-physical systems","Actuators;Switches;Robustness;Heuristic algorithms;Controllability;Asymptotic stability;Stability analysis","learning (artificial intelligence);multi-agent systems;security of data","moving target defense framework;MTD;unknown system;optimal strategies;physically plausible attacks;adversarial threat models;on-off adversarially robust Q-learning;attacker surface;learning agent ability;on-off learning-based scheme","","","","28","IEEE","10 Mar 2020","","","IEEE","IEEE Journals"
"SHARKS: Smart Hacking Approaches for RisK Scanning in Internet-of-Things and Cyber-Physical Systems based on Machine learning","T. Saha; N. Aaraj; N. Ajjarapu; N. K. Jha","Electrical Engineering, Princeton University, 6740 Princeton, New Jersey, United States, 08544 (e-mail: tsaha@princeton.edu); Technology Innovation Institute, UAE (e-mail: naaraj@alumni.princeton.edu); Electrical Engineering, Princeton University, 6740 Princeton, New Jersey, United States, (e-mail: ajjarapu@princeton.edu); Electrical Engineering, Princeton University, Princeton, New Jersey, United States, 08544 (e-mail: jha@princeton.edu)","IEEE Transactions on Emerging Topics in Computing","","2021","PP","99","1","1","Cyber-physical systems (CPS) and Internet-of-Things (IoT) devices are increasingly being deployed across multiple functionalities. These devices are inherently insecure across their comprehensive software, hardware, and network stacks, thus presenting a large attack surface that can be exploited by hackers. In this article, we present an innovative technique for detecting unknown system vulnerabilities, manage associated vulnerabilities, and improve incident response when such vulnerabilities are exploited. The novelty of this approach lies in extracting intelligence from known real-world CPS/IoT attacks, representing them in the form of regular expressions, and employing machine learning (ML) techniques on this ensemble of regular expressions to generate new attack vectors and security vulnerabilities. Our results show that 10 new attack vectors and 122 new vulnerability exploits can be successfully generated that have the potential to exploit a CPS or an IoT ecosystem. The ML methodology achieves an accuracy of 97.4% and enables us to predict these attacks efficiently with an 87.2% reduction in the search space. We demonstrate the application of our method to the hacking of the in-vehicle network of a connected car. To defend against the known attacks and possible novel exploits, we discuss a defense mechanism for various classes of attacks.","2168-6750","","10.1109/TETC.2021.3050733","National Science Foundation(grant numbers:CNS-1617628); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319511","Artificial Intelligence;Attack Graphs;Cyber-Physical Systems;Cybersecurity;Embedded Systems;Internet-of-Things;Machine Learning","Security;Malware;Hidden Markov models;Hardware;Computer security;Automation;Support vector machines","","","","","","","IEEE","11 Jan 2021","","","IEEE","IEEE Early Access Articles"
"Analyzing Adversarial Attacks against Deep Learning for Intrusion Detection in IoT Networks","O. Ibitoye; O. Shafiq; A. Matrawy",Carleton University; Carleton University; Carleton University,"2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","Adversarial attacks have been widely studied in the field of computer vision but their impact on network security applications remains an area of open research. As IoT, 5G and AI continue to converge to realize the promise of the fourth industrial revolution (Industry 4.0), security incidents and events on IoT networks have increased. Deep learning techniques are being applied to detect and mitigate many of such security threats against IoT networks. Feed- forward Neural Networks (FNN) have been widely used for classifying intrusion attacks in IoT networks. In this paper, we consider a variant of the FNN known as the Self-normalizing Neural Network (SNN) and compare its performance with the FNN for classifying intrusion attacks in an IoT network. Our analysis is performed using the BoT- IoT dataset from the Cyber Range Lab of the center of UNSW Canberra Cyber. In our experimental results, the FNN outperforms the SNN for intrusion detection in IoT networks based on multiple performance metrics such as accuracy, precision, and recall as well as multi-classification metrics such as Cohen Cappaâ€™s score. However, when tested for adversarial robustness, the SNN demonstrates better resilience against the adversarial samples from the IoT dataset, presenting a promising future in the quest for safer and more secure deep learning in IoT networks.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9014337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9014337","","Machine learning;Intrusion detection;Neural networks;Resilience;Internet of Things;Training","computer network security;feedforward neural nets;fuzzy neural nets;Internet of Things;learning (artificial intelligence);pattern classification;telecommunication security","intrusion attacks;IoT network;FNN;intrusion detection;network security applications;adversarial attacks;feedforward neural networks;self-normalizing neural network;BoT-IoT dataset;Cyber Range Lab of the center of UNSW Canberra Cyber;performance metrics","","17","","18","","27 Feb 2020","","","IEEE","IEEE Conferences"
